word	definition
detri	x₁ (Entity) is the date of event or state x₂ (nu, Event) at location x₃ (Location) by calendar x₄ (Entity)
dicra	x₁ (nu, Event) interrupts or stops or halts or disrupts x₂ (Entity or nu, Event) due to quality x₃ (ka, Property of x₁)
dikca	x₁ (Entity) is electricity electric charge or current in or on x₂ (Entity) of polarity or quantity x₃ (Number)
diklo	x₁ (Entity) is local to locus x₂ (Entity) within range x₃ (Entity)
dikni	x₁ (Entity) is regular or cyclical or periodic in property or activity x₂ (ka, Property of x₁ or nu, Event) with period or interval x₃ (Entity)
dilcu	x₁ (Number) is the quotient x₂ (Number) divided by x₃ (Number) leaving remainder x₄ (Number)
dilnu	x₁ (Entity) is a cloud or mass of clouds of material x₂ (Entity) in air mass x₃ (Entity) at base elevation x₄ (Entity or Number)
dimna	x₁ (nu, Event) is a fate or destiny of x₂ (Entity)
dinju	x₁ (Location) is a building or edifice for purpose x₂ (nu, Event)
dinko	x₁ (Entity) is a nail or tack fastener of type or size x₂ (ka, Property of x₁) made of material x₃ (Entity)
dirba	x₁ (ka, Property of x₂) is dear or precious or darling to x₂ (Entity)
dirce	x₁ (Entity) radiates or emits x₂ (Entity) under conditions x₃ (nu, Event)
dirgo	x₁ (Entity) is a drop of material x₂ (Entity) in surrounding material x₃ (Entity)
dizlo	x₁ (Entity) is low or downward in frame of reference x₂ (Entity) compared with baseline or standard height x₃ (Entity)
djacu	x₁ (Entity) is a quantity of or contains or is made of water
djedi	x₁ (TimeInterval) is x₂ (Number) full days in duration by standard x₃ (si'o, Standard)
djica	x₁ (Entity) desires or wants or wishes x₂ (nu, Event or State) for purpose x₃ (nu, Event)
djine	x₁ (Entity) is a ring or annulus or torus or circle shape of material x₂ (Entity) with inside diameter x₃ (Number) and outside diameter x₄ (Number)
djuno	x₁ (Entity) knows fact x₂ (du'u, Proposition) about subject x₃ (Entity) by epistemology x₄ (du'u, Proposition)
donri	x₁ (TimeInterval) is the daytime of day x₂ (TimeInterval) at location x₃ (Location)
dotco	x₁ (Entity) reflects German or Germanic culture or nationality or language in aspect x₂ (ka, Property of x₁)
draci	x₁ (Entity) is a drama or play about x₂ (Entity) by dramatist x₃ (Entity) for audience x₄ (Entity or Group<Entity>) with actors x₅ (Group<Entity>)
drani	x₁ (Entity) is correct or proper or right or perfect in property or aspect x₂ (ka, Property of x₁) in situation x₃ (nu, Event) by standard x₄ (Entity)
drata	x₁ (Entity) is different from or other than x₂ (Entity) by standard x₃ (si'o, Standard)
drudi	x₁ (Entity) is a roof or top or ceiling or lid of x₂ (Entity)
dugri	x₁ (Number) is the logarithm of x₂ (Number) to base x₃ (Number)
dukse	T: Entity. x₁ (T) is an excess of or too much of x₂ (T) by standard x₃ (si'o, Standard)
dukti	x₁ (Entity) is a polar opposite or contrary to x₂ (Entity) in property or on scale x₃ (ka, Relation<x₁, x₂> or si'o, Scale)
dunda	x₁ (Entity) gives or donates gift x₂ (ka, Property of x₃) to recipient x₃ (Entity) without payment or exchange
dunja	x₁ (Entity) freezes or jells or solidifies at temperature x₂ (Number) and pressure x₃ (Number)
dunku	x₁ (Entity) is anguished or distressed or emotionally wrought or stressed by x₂ (nu, Event)
dunli	T: Entity. x₁ (T) is equal or congruent to or as much as x₂ (T) in property or dimension or quantity x₃ (ka, Relation<x₁, x₂>)
dunra	x₁ (TimeInterval) is winter season of year x₂ (Entity or Number) at location x₃ (Location)
dzena	x₁ (Entity) is an elder or ancestor of x₂ (Entity) by bond or degree x₃ (Entity)
dzipo	x₁ (Entity) reflects Antarctican culture or nationality or geography in aspect x₂ (ka, Property of x₁)
facki	x₁ (Entity) discovers or finds out fact x₂ (du'u, Proposition) about subject or object x₃ (Entity)
fadni	x₁ (Entity) is ordinary or common or typical or usual in property x₂ (ka, Property of x₁) among members of set x₃ (Set<Entity>)
fagri	x₁ (Entity) is a fire or flame in fuel x₂ (Entity) burning in or reacting with oxidizer x₃ (Entity)
falnu	x₁ (Entity) is a sail for gathering propelling material x₂ (Entity) on vehicle or motor x₃ (Entity)
famti	x₁ (Entity) is an aunt or uncle of x₂ (Entity) by bond x₃ (Entity)
fancu	x₁ (Entity) is a function mapping domain x₂ (Entity) to range x₃ (Entity) defined by expression or rule x₄ (Text)
fange	x₁ (Entity) is foreign or alien or exotic or unfamiliar to x₂ (Entity) in property x₃ (ka, Property of x₁)
fanmo	x₁ (Entity or State) is an end or finish or termination of thing or process x₂ (Entity or nu, Event)
fanri	x₁ (Entity) is a factory or foundry or industrial plant or mill producing x₂ (Entity) from materials x₃ (Entity)
fanta	x₁ (Entity) prevents or keeps or stops or restrains event x₂ (nu, Event) from occurring
fanva	x₁ (Entity) translates text or utterance x₂ (Text) to language x₃ (Language) from language x₄ (Language) with translation result x₅ (Text)
fanza	x₁ (nu, Event) annoys or irritates or bothers or distracts x₂ (Entity)
fapro	x₁ (Entity) opposes or balances or contends against opponent(s) x₂ (Entity or Group<Entity>) about x₃ (Abstraction)
farlu	x₁ (Entity) falls or drops to x₂ (Location) from x₃ (Location) in gravity well or frame x₄ (Entity)
farna	x₁ (Entity) is the direction of x₂ (Entity or nu, Event) from origin or in frame of reference x₃ (Entity)
farvi	x₁ (Entity) develops or evolves towards or into x₂ (Entity) from x₃ (Entity) through stages x₄ (Sequence<Entity> or Group<Entity>)
fasnu	x₁ (nu, Event) is an event or incident or happening or occurrence
fatci	x₁ (du'u, Proposition) is a fact or reality or truth or actuality
fatne	x₁ (Sequence<Entity>) is in reverse order from sequence x₂ (Sequence<Entity>) or x₁ (Entity) is inverted from x₂ (Entity)
fatri	x₁ (Entity) is distributed or allotted or allocated or shared among x₂ (Entity or Group<Entity>) with shares or portions x₃ (Entity or Group<Entity>)
febvi	x₁ (Entity) boils or evaporates at temperature x₂ (Number) and pressure x₃ (Number)
femti	x₁ (Entity) is 10^-15 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
fendi	x₁ (Entity) divides or partitions or separates x₂ (Entity) into parts or individuals x₃ (Entity or Group<Entity>) by method or partition x₄ (Entity or du'u, Proposition)
fengu	x₁ (Entity) is angry or mad at x₂ (Entity) for x₃ (ka, Property of x₂)
fenki	x₁ (nu, Event) is crazy or insane or frantic by standard x₂ (si'o, Standard)
fenra	x₁ (Entity) is a crack or fissure or pass or cleft or ravine or chasm in x₂ (Entity)
fenso	x₁ (Entity) sews or stitches or sutures materials x₂ (Entity or Set<Entity>) together with tool(s) x₃ (Entity) using filament x₄ (Entity)
fepni	x₁ (Entity) is x₂ (Number) cents or copecks in value in monetary system x₃ (Entity)
fepri	x₁ (Entity) is a lung body-part of x₂ (Organism)
ferti	x₁ (Entity) is fertile or conducive for supporting growth or development of x₂ (Entity or ka, Property of x₁)
festi	x₁ (Entity) is waste product left by event or activity x₂ (nu, Event)
fetsi	x₁ (Organism) is a female of species x₂ (Taxon) with feminine traits x₃ (ka, Property of x₁)
figre	x₁ (Entity) is a fig fruit or tree of species x₂ (Taxon)
filso	x₁ (Entity) reflects Palestinian culture or nationality in aspect x₂ (ka, Property of x₁)
finpe	x₁ (Organism) is a fish of species x₂ (Taxon)
finti	x₁ (Entity) invents or creates or composes or authors x₂ (Entity) for purpose x₃ (Entity or nu, Event) from existing elements or ideas x₄ (Entity)
flalu	x₁ (Entity) is a law specifying x₂ (ka, Property of x₃) for community x₃ (Group<Entity>) under conditions x₄ (nu, Event) by lawgiver x₅ (Entity)
flani	x₁ (Entity) is a flute or pipe or fife or recorder musical instrument
flecu	x₁ (Entity) is a current or flow or river of or in fluid x₂ (Entity) flowing towards x₃ (Location) from source x₄ (Location)
fliba	x₁ (Entity) fails at doing x₂ (ka, Property of x₁)
flira	x₁ (Entity) is a face head body-part of x₂ (Organism)
foldi	x₁ (Entity) is a field broad uniform expanse of material x₂ (Entity)
fonmo	x₁ (Entity) is a quantity of foam or froth or suds of material x₂ (Entity) with bubbles of material x₃ (Entity)
fonxa	x₁ (Entity) is a telephone transceiver or modem attached to system or network x₂ (Entity)
forca	x₁ (Entity) is a fork tool or utensil for purpose x₂ (nu, Event) with tines or prongs x₃ (Entity) on base or support x₄ (Entity)
fraso	x₁ (Entity) reflects French or Gallic culture or nationality or language in aspect x₂ (ka, Property of x₁)
frati	x₁ (Entity) reacts or responds or answers with action x₂ (ka, Property of x₁) to stimulus x₃ (Entity or nu, Event) under conditions x₄ (nu, Event)
fraxu	x₁ (Entity) forgives x₂ (Entity) for event or state or activity x₃ (nu, Event)
frica	x₁ (Entity) differs or is distinct from x₂ (Entity) in property or dimension or quantity x₃ (ka, Relation<x₁, x₂>)
friko	x₁ (Entity) reflects African culture or nationality or geography in aspect x₂ (ka, Property of x₁)
frili	x₁ (nu, Event) is easy or simple or facile for agent x₂ (Entity) under conditions x₃ (nu, Event)
frinu	x₁ (Entity) is a fraction with numerator x₂ (Number) and denominator x₃ (Number)
friti	x₁ (Entity) offers or proffers x₂ (ka, Property of x₃) to x₃ (Entity) with conditions x₄ (nu, Event)
frumu	x₁ (Entity) frowns or grimaces
fukpi	x₁ (Entity) is a copy or replica or duplicate or clone of x₂ (Entity) in form or medium x₃ (Entity) made by method x₄ (nu, Event)
fulta	x₁ (Entity) floats on or in fluid x₂ (Entity)
funca	x₁ (ka, Property of x₂) is determined by the luck or fortune of x₂ (Entity)
fusra	x₁ (Entity) rots or decays or ferments with decay or fermentation agent x₂ (Entity)
fuzme	x₁ (Entity) is responsible or accountable for x₂ (nu, Event or State) to judge or authority x₃ (Entity)
gacri	x₁ (Entity) is a cover or lid or top for covering or concealing or sheltering x₂ (Entity)
gadri	x₁ (Text) is an article or descriptor labelling description x₂ (Text) in language x₃ (Entity) with semantics x₄ (Entity)
galfi	x₁ (nu, Event) modifies or alters or changes or transforms or converts x₂ (Entity) into x₃ (Entity)
galtu	x₁ (Entity) is high or upward in frame of reference x₂ (Entity) compared with baseline or standard height x₃ (Entity)
galxe	x₁ (Entity) is a throat or gullet body-part of x₂ (Organism)
ganlo	x₁ (Entity) is a portal or passage or entrance-way that is closed or shut preventing passage or access to x₂ (Entity) by x₃ (Entity)
ganra	x₁ (Entity) is broad or wide in dimension x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
ganse	x₁ (Entity) senses or detects or notices stimulus x₂ (Entity or nu, Event) by means x₃ (Entity) under conditions x₄ (nu, Event)
ganti	x₁ (Entity) is a gonad or testes or ovary body-part of x₂ (Organism) of sex x₃ (Entity)
ganxo	x₁ (Entity) is an anus or anal orifice body-part of x₂ (Organism)
ganzu	x₁ (Entity) organizes x₂ (Entity or Group<Entity>) into ordered result x₃ (Entity or Group<Entity>) by system or principle(s) x₄ (du'u, Proposition)
gapci	x₁ (Entity) is gaseous or a gas or vapor of material including x₂ (Entity) under conditions x₃ (nu, Event)
gapru	x₁ (Entity) is directly or vertically above x₂ (Entity) in gravity or frame x₃ (Entity)
garna	x₁ (Entity) is a rail or railing or bar supporting or restraining x₂ (Entity) made of material x₃ (Entity)
gasnu	x₁ (Entity) as agent brings about event x₂ (nu, Event)
gasta	x₁ (Entity) is a quantity of or is made of or contains steel of composition including x₂ (Entity)
genja	x₁ (Entity) is a root body-part of plant or species x₂ (Taxon)
gento	x₁ (Entity) reflects Argentinian culture or nationality in aspect x₂ (ka, Property of x₁)
genxu	x₁ (Entity) is a hook or crook shape of material x₂ (Entity)
gerku	x₁ (Organism) is a dog or canine of species x₂ (Taxon)
gerna	x₁ (Entity) is the grammar or rules or defining form of language x₂ (Entity) for structure or text x₃ (Text)
gidva	x₁ (Entity or nu, Event) guides or conducts or pilots or leads x₂ (Entity or Group<Entity>) in or at event x₃ (nu, Event)
gigdo	x₁ (Entity) is 10^9 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
ginka	x₁ (Location) is a camp or encampment or temporary residence of x₂ (Entity or Group<Entity>) at location x₃ (Location)
girzu	x₁ (Group<Entity>) is a group or cluster or team showing common property x₂ (ka, Property of member of x₁) with members x₃ (Set<Entity>) linked by relations x₄ (Relation<members of x₃>)
gismu	x₁ (Text) is a Lojban root word expressing relation x₂ (Relation<members of x₃>) among argument roles x₃ (Sequence<Entity>) with affixes x₄ (Sequence<Text>)
glare	x₁ (Entity) is hot or warm by standard x₂ (si'o, Standard)
gleki	x₁ (Entity) is happy or merry or glad or gleeful about x₂ (nu, Event or State)
gletu	x₁ (Entity) copulates or mates or has sexual intercourse with x₂ (Entity)
glico	x₁ (Entity) is English or pertains to English-speaking culture in aspect x₂ (ka, Property of x₁)
gluta	x₁ (Entity) is a mitten or glove garment of material x₂ (Entity)
gocti	x₁ (Entity) is 10^-24 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
gotro	x₁ (Entity) is 10^24 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
gradu	x₁ (Entity) is a unit or degree on scale x₂ (v) measuring property x₃ (ka, Property of x₁)
grake	x₁ (Entity) is x₂ (Number) grams in mass by standard x₃ (si'o, Standard)
grana	x₁ (Entity) is a rod or pole or staff or stick or cane shape of material x₂ (Entity)
grasu	x₁ (Entity) is a quantity of or is made of or contains grease or fat or oil from source x₂ (Entity)
greku	x₁ (Entity) is a frame or structure or skeleton supporting or determining the form of x₂ (Entity)
grusi	x₁ (Entity) is gray in color
grute	x₁ (Entity) is a fruit of species x₂ (Taxon)
gubni	x₁ (Entity) is public or jointly available to community x₂ (Group<Entity>)
gugde	x₁ (Entity) is a country of peoples x₂ (Group<Entity>) with territory x₃ (Location)
gundi	x₁ (Entity) is industry or industrial manufacturing activity producing x₂ (Entity) by process or means x₃ (nu, Event)
gunka	x₁ (Entity) works or labors on activity x₂ (ka, Property of x₁) with goal x₃ (nu, Event)
gunma	x₁ (Group<Entity>) is a mass or team or aggregate together composed of components x₂ (Group<Entity>)
gunro	x₁ (Entity) rolls on or against surface x₂ (Entity) rotating on axis or axle x₃ (Entity)
gunse	x₁ (Organism) is a goose of species x₂ (Taxon)
gunta	x₁ (Entity or Group<Entity>) attacks or invades or commits aggression upon victim x₂ (Entity) with goal x₃ (nu, Event or ka, Property of x₁)
gurni	x₁ (Entity) is grain or cereal from plant or species x₂ (Taxon)
guska	x₁ (Entity) scrapes or erodes or abrades x₂ (Entity) from x₃ (Entity)
gusni	x₁ (Entity) is light or illumination illuminating x₂ (Entity) from light source x₃ (Entity)
gusta	x₁ (Location) is a restaurant or cafe or diner serving type-of-food x₂ (Entity) to audience x₃ (Group<Entity>)
gutci	x₁ (Entity) is x₂ (Number) short local distance units in dimension x₃ (ka, Property of x₁) by standard x₄ (si'o, Standard) with subunits x₅ (Entity)
gutra	x₁ (Entity) is a womb or uterus body-part of x₂ (Organism)
guzme	x₁ (Entity) is a melon or squash fruit or plant of species x₂ (Taxon)
jabre	x₁ (Entity) brakes or causes to slow motion or activity x₂ (Entity or nu, Event) with mechanism or principle x₃ (Entity or du'u, Proposition)
jadni	x₁ (Entity) adorns or decorates x₂ (Entity)
jakne	x₁ (Entity) is a rocket vehicle propelled by jet expelling x₂ (Entity) carrying payload x₃ (Entity)
jalge	x₁ (nu, Event or State) is a result or outcome or conclusion of antecedent x₂ (nu, Event or Process)
jalna	x₁ (Entity) is a quantity of or contains or is made of starch from source x₂ (Entity) of composition including x₃ (Entity)
jalra	x₁ (Organism) is a cockroach or termite or orthopteran of order or species x₂ (Taxon)
jamfu	x₁ (Entity) is a foot body-part of x₂ (Organism)
jamna	x₁ (Entity or Group<Entity>) wars against x₂ (Entity or Group<Entity>) over territory or matter x₃ (du'u, Proposition)
janbe	x₁ (Entity) is a bell or chime or tuning fork producing sound x₂ (Sound)
janco	x₁ (Entity) is a shoulder or hip joint body-part attaching limb x₂ (Entity) to body x₃ (Entity)
janli	x₁ (Entity) collides with or crashes or bumps or runs into x₂ (Entity)
jansu	x₁ (Entity) is a diplomat or consul representing polity x₂ (Entity) in negotiation x₃ (nu, Event) for function or purpose x₄ (nu, Event)
janta	x₁ (Entity) is an account or bill or invoice for goods or services x₂ (Entity or nu, Event) billed to x₃ (Entity) by x₄ (Entity)
jarbu	x₁ (Location) is a suburban area of city or metropolis x₂ (Location)
jarco	x₁ (Entity) shows or exhibits or displays or reveals or demonstrates property x₂ (ka, Property of x₁) to audience x₃ (Entity)
jarki	x₁ (Entity) is narrow in dimension x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
jaspu	x₁ (Entity) is a passport issued to person x₂ (Entity) by authority x₃ (Entity) allowing activity x₄ (nu, Event)
jatna	x₁ (Entity) is a captain or commander or leader of vehicle or domain x₂ (Entity)
javni	x₁ (Entity) is a rule prescribing or mandating or requiring event or state x₂ (nu, Event) within system or community x₃ (Entity or Group<Entity>)
jbama	x₁ (Entity) is a bomb or explosive device with explosive material or principle x₂ (Entity)
jbari	x₁ (Entity) is a berry fruit or plant of species x₂ (Taxon)
jbena	x₁ (Entity) is born to parent x₂ (Entity) at time x₃ (TimeInterval) and place x₄ (Location)
jbera	x₁ (Entity) borrows or temporarily takes object x₂ (Entity) from source x₃ (Entity) for interval x₄ (TimeInterval)
jbini	x₁ (Entity) is between or among set or bounds x₂ (Set<Entity>) in property x₃ (ka, Property of x₁)
jdari	x₁ (Entity) is firm or hard or resistant or unyielding to force x₂ (nu, Event or Entity) under conditions x₃ (nu, Event)
jdice	x₁ (Entity) decides decision x₂ (du'u, Proposition) about matter x₃ (nu, Event or State)
jdika	x₁ (Entity) decreases or contracts or is reduced in property or quantity x₂ (ka, Property of x₁) by amount x₃ (Entity or Number)
jdima	x₁ (ka, Property of x₄) is the price of x₂ (ka, Property of x₃) to purchaser x₃ (Entity) set by vendor x₄ (Entity)
jdini	x₁ (Entity) is money or currency issued by x₂ (Entity)
jduli	x₁ (Entity) is a quantity of jelly or semisolid of material including x₂ (Entity)
jecta	x₁ (Entity) is a polity or state governing territory or domain x₂ (Location or Entity)
jeftu	x₁ (TimeInterval) is x₂ (Number) weeks in duration by standard x₃ (si'o, Standard)
jegvo	x₁ (Entity) pertains to Abrahamic common culture or religion or nationality in aspect x₂ (ka, Property of x₁)
jelca	x₁ (Entity) burns or ignites or is flammable at temperature x₂ (Number) in atmosphere x₃ (Entity)
jemna	x₁ (Entity) is a gem or polished stone or pearl of type x₂ (Entity) from material or source x₃ (Entity)
jenca	x₁ (nu, Event) shocks or stuns x₂ (Entity)
jendu	x₁ (Entity) is an axle or spindle tool on which x₂ (Entity) rotates made of material x₃ (Entity)
jenmi	x₁ (Group<Entity>) is an army serving group or community x₂ (Group<Entity>) in function x₃ (nu, Event)
jerna	x₁ (Entity) earns or deserves or merits wages or salary or pay x₂ (ka, Property of x₁) for work or service x₃ (ka, Property of x₁)
jersi	x₁ (Entity) chases or pursues or physically follows after x₂ (Entity)
jerxo	x₁ (Entity) reflects Algerian culture or nationality in aspect x₂ (ka, Property of x₁)
jesni	x₁ (Entity) is a needle pointed shape of material x₂ (Entity)
jetce	x₁ (Entity) is a jet expelled stream of material x₂ (Entity) expelled from x₃ (Entity)
jetnu	x₁ (du'u, Proposition) is true by standard or epistemology or metaphysics x₂ (du'u, Proposition)
jgalu	x₁ (Entity) is a claw or nail or talon body-part of x₂ (Organism)
jganu	x₁ (Entity) is an angle shape from vertex x₂ (Entity) subtended by lateral segment x₃ (Entity)
jgari	x₁ (Entity) grasps or holds or clutches or seizes or grips x₂ (Entity) with body-part x₃ (Entity) at locus x₄ (Entity)
jgena	x₁ (Entity) is a knot or tangle in or between x₂ (Entity or Group<Entity>)
jgina	x₁ (Entity) is a gene of creature x₂ (Organism) determining trait or process x₃ (ka, Property of x₂ or nu, Event)
jgira	x₁ (Entity) feels pride in or about x₂ (Abstraction)
jgita	x₁ (Entity) is a guitar or violin or stringed musical instrument with plectrum or bow x₂ (Entity)
jibni	x₁ (Entity) is near or close to x₂ (Entity) in property or quantity x₃ (ka, Relation<x₁, x₂> or ni)
jibri	x₁ (ka, Property of x₂) is a job or occupation or employment of person x₂ (Entity)
jicla	x₁ (Entity or nu, Event) stirs or mixes or agitates fluid x₂ (Entity)
jicmu	x₁ (Property of x₂) is a basis or foundation or fundamental principle of x₂ (Entity or nu, Event)
jijnu	x₁ (Entity) intuits fact x₂ (du'u, Proposition) about subject x₃ (Entity)
jikca	x₁ (Entity) interacts or behaves socially with x₂ (Entity)
jikru	x₁ (Entity) is a quantity of or is made of or contains liquor distilled from x₂ (Entity)
jilka	x₁ (Entity) is a quantity of or contains or is made of alkali or base of composition including x₂ (Entity)
jilra	x₁ (Entity) is jealous of or envies x₂ (Entity) about property x₃ (ka, Property of x₂)
jimca	x₁ (Entity) is a branch or bough or limb of x₂ (Entity)
jimpe	x₁ (Entity) understands fact x₂ (du'u, Proposition) about subject x₃ (Entity)
jimte	x₁ (Entity) is a limit or extreme or bound or border of x₂ (Entity) in property or domain x₃ (ka, Relation<x₁, x₂>)
jinci	x₁ (Entity) is a pair of shears or scissors for cutting x₂ (Entity)
jinga	x₁ (Entity or Group<Entity>) wins or gains prize x₂ (ka, Property of x₁) from competitors x₃ (Entity or Group<Entity>) in competition x₄ (nu, Event)
jinku	x₁ (Entity) is a vaccine or immune-system stimulant protecting x₂ (Entity) against disease x₃ (nu, Event or ka, Property of x₂) introduced by method x₄ (nu, Event)
jinme	x₁ (Entity) is a quantity of or is made of or contains metal of composition including x₂ (Entity)
jinru	x₁ (Entity) is immersed or submerged or bathes in liquid x₂ (Entity)
jinsa	x₁ (Entity) is clean or pure of material or contaminant x₂ (Entity) by standard x₃ (si'o, Standard)
jinto	x₁ (Location) is a well or spring of fluid x₂ (Entity) at location x₃ (Location)
jinvi	x₁ (Entity) opines that x₂ (du'u, Proposition) is true about subject x₃ (Entity) on grounds x₄ (du'u, Proposition)
jinzi	x₁ (ka, Property of x₂) is an innate or inherent or intrinsic or natural property of x₂ (Entity)
jipci	x₁ (Organism) is a chicken or small fowl of species x₂ (Taxon)
jipno	x₁ (Entity) is a tip or point or vertex or extremity or end on object x₂ (Entity) at locus x₃ (Entity)
jirna	x₁ (Entity) is a horn body-part of x₂ (Organism)
jisra	x₁ (Entity) is a quantity of or is made of or contains juice or nectar from source x₂ (Entity)
jitfa	x₁ (du'u, Proposition) is false or an untruth by standard or epistemology or metaphysics x₂ (du'u, Proposition)
jitro	x₁ (Entity) has control over or manages or directs or conducts x₂ (Entity or Group<Entity>) in activity or event x₃ (nu, Event)
jivbu	x₁ (Entity) weaves x₂ (Entity) from material or yarn x₃ (Entity)
jivna	x₁ (Entity) competes or vies with opponent x₂ (Entity) in contest x₃ (nu, Event) for gain x₄ (Entity or nu, Event)
jmaji	x₁ (Group<Entity>) gathers or collects at location x₂ (Location) from locations x₃ (Group<Entity>)
jmifa	x₁ (Location) is a shoal or reef of material x₂ (Entity) in body of water x₃ (Entity)
jmina	x₁ (Entity) adds or combines x₂ (Entity or ka, Property of x₃) to x₃ (Entity) with result x₄ (Entity or ka, Property of x₃)
jmive	x₁ (Organism) lives or is alive by standard x₂ (si'o, Standard)
jordo	x₁ (Entity) reflects Jordanian culture or nationality in aspect x₂ (ka, Property of x₁)
jorne	x₁ (Entity) is joined to or connects to or is united with x₂ (Entity) at common locus x₃ (Entity)
jubme	x₁ (Entity) is a table with flat upper surface of material x₂ (Entity) supported by legs or base or pedestal x₃ (Entity)
judri	x₁ (Text) is an address or coordinates of x₂ (Entity) in system x₃ (Entity)
jufra	x₁ (Text) is a sentence or statement about topic x₂ (Entity) in language x₃ (Entity)
jukni	x₁ (Organism) is a spider or arachnid or crustacean or crab or non-insect arthropod of species x₂ (Taxon)
jukpa	x₁ (Entity) cooks or prepares food x₂ (Entity) by recipe or method x₃ (nu, Event)
julne	x₁ (Entity) is a net or filter allowing passage of x₂ (Entity) and prohibiting passage of x₃ (Entity) with netting properties x₄ (ka, Property of x₁)
jundi	x₁ (Entity) is attentive towards or attends or pays attention to object or affair x₂ (Entity or nu, Event)
jungo	x₁ (Entity) reflects Chinese culture or nationality or language in aspect x₂ (ka, Property of x₁)
junla	x₁ (Entity) is a clock or watch or timer measuring time units x₂ (Entity) to precision x₃ (Entity) with mechanism x₄ (Entity)
junri	x₁ (Entity) is serious or earnest about x₂ (nu, Event or State)
junta	x₁ (Entity) is the weight of object x₂ (Entity) in field x₃ (Entity)
jurme	x₁ (Organism) is a bacterium or germ or microbe of species or defining property x₂ (Taxon or ka, Property of x₁)
jursa	x₁ (nu, Event or State) is severe or harsh to x₂ (Entity)
jutsi	x₁ (Entity) is a species or taxon of super-taxon x₂ (Entity) and higher taxon x₃ (Entity)
juxre	x₁ (nu, Event) is clumsy or awkward by standard x₂ (si'o, Standard)
jvinu	x₁ (Entity) is a view or scene or panorama or sight of x₂ (Entity or Location) from viewpoint x₃ (Location or Entity)
kabri	x₁ (Entity) is a cup or glass or tumbler or mug or vessel containing contents x₂ (Entity) and made of material x₃ (Entity)
kacma	x₁ (Entity) is a camera recording images of illumination type x₂ (Entity) to medium x₃ (Entity)
kadno	x₁ (Entity) reflects Canadian culture or nationality in aspect x₂ (ka, Property of x₁)
kafke	x₁ (Entity) coughs or farts or burps up gas x₂ (Entity) from orifice x₃ (Entity)
kagni	x₁ (Entity) is a company or corporation or firm or partnership chartered by authority x₂ (Entity) for purpose x₃ (nu, Event)
kajde	x₁ (ka, Property of x₂) warns or cautions person x₂ (Entity) of danger x₃ (ka, Property of x₂)
kajna	x₁ (Entity) is a shelf or counter or bar attached to supporting object x₂ (Entity) for purpose x₃ (nu, Event)
kakne	x₁ (Entity) is able or capable of doing or being x₂ (nu, Event or State) under conditions x₃ (nu, Event or State)
kakpa	x₁ (Entity) digs material x₂ (Entity) out of source or hole x₃ (Entity) with limbs or tools x₄ (Entity)
kalci	x₁ (Entity) is feces or excrement or dung of organism x₂ (Organism)
kalri	x₁ (Entity) is an open portal or passage permitting access to x₂ (Entity) by x₃ (Entity)
kalsa	x₁ (Entity) is chaotic or disordered in property x₂ (ka, Property of x₁)
kalte	x₁ (Entity) hunts or stalks prey x₂ (Entity) for purpose x₃ (nu, Event)
kamju	x₁ (Entity) is a column or pillar of material x₂ (Entity)
kamni	x₁ (Group<Entity>) is a committee with task or purpose x₂ (nu, Event) of body x₃ (Entity or Group<Entity>)
kampu	x₁ (ka, Property of members of x₂) is common or general or universal among members of set x₂ (Set<Entity>)
kanba	x₁ (Organism) is a goat of species x₂ (Taxon)
kancu	x₁ (Entity) counts the number in set x₂ (Set<Entity>) to be x₃ (Number) by units x₄ (Entity)
kandi	x₁ (Entity) is dim or dull or pale or non-intense in property x₂ (ka, Property of x₁) as received by observer x₃ (Entity)
kanji	x₁ (Entity) calculates or reckons or computes value x₂ (ni, Amount of nonce place or State) from data x₃ (Entity) by process x₄ (ka, property of x₁)
kanla	x₁ (Entity) is an eye body-part of x₂ (Organism)
kanro	x₁ (Entity) is healthy or fit or well by standard x₂ (si'o, Standard)
kansa	x₁ (Entity) is with or accompanies or is a companion of x₂ (Entity) in state x₃ (nu, Event or State of x₁ and x₂)
kantu	x₁ (Entity) is a quantum or ray or elementary particle of property or activity x₂ (ka, Property of x₁)
kanxe	x₁ (Entity) is a conjunction stating that x₂ (du'u, Proposition) and x₃ (du'u, Proposition) are both true
karbi	x₁ (Entity) compares x₂ (Entity) with x₃ (Entity) in property x₄ (ka, Relation<x₂, x₃>) determining comparison state x₅ (nu, Event or State)
karce	x₁ (Entity) is a car or automobile or truck or van for carrying x₂ (Entity) propelled by x₃ (Entity)
karda	x₁ (Entity) is a card nearly two-dimensional shape of material x₂ (Entity) with shape x₃ (Entity)
kargu	x₁ (ka, Property of x₂) is costly or expensive or dear to x₂ (Entity) by standard x₃ (si'o, Standard)
karli	x₁ (Entity) is a collar or ring or belt or band around x₂ (Entity) made of material x₃ (Entity)
