lojbo	lojbo gi'e nu'o bredi	glico
ni'o ni'o vo mo'o la ractu cu benji lo cmalu me la .bil.	ni'o ni'o vo mo'o le ractu cu benji lo cmalu be fa la bil	CHAPTER IV. The Rabbit Sends in a Little Bill
ni'o me la blabi ractu noi masno bajra xruti gi'e xanka ke sruri catlu ca lo nu klama kei tai lo nu ry da pu cirko .i .abu tirna lo nu ry lauble sezysku «lu .oi la noltroni'u .i .oi la noltroni'u doi dirba xance be mi doi skapi be mi doi zbikre be mi zo'u: ny da mi ba catrymi'e ju'o sai .i jo ro mabrnfuru cu mabrnfuru .i mi Ly ma falcru li'u» .i la .alis. zi smadi lo du'u ry sisku lo bifpra .e lo blabi ke kanba gluta re mei .i .abu noi xendo cu co'a sisku Ly .i ku'i Ly na se viska .i ro da ba lo nu .abu limna lo lalxu cu simlu lo ka ba'o cenba .i lo barda kumfa poi vasru lo blaci jubme .e lo cmalu vorme cu ba'o mulno canci	ni'o me le blabi ractu noi masno bajra volve gi'e xanka ke sruri catlu ca lo ka klama vau tai lo nu ry da pu cirko .i .a bu tirna lo nu ry to'e cladu cusku fi lo nei fe lu .oi le tutytru .i .oi le tutytru doi lo dirba xance be mi doi lo skapi be mi doi gaskre be mi zo'u: ju'o sai le tutytru da minde fi lo ka jai gau morsi fai mi .i jo ro dalmustela cu dalmustela .i bu'u ma .a'u mi pu snuti renro le za'umei li'u .i la .alis. zi smadi lo nu le ractu cu mitysisku le tolfalnu .e lo blabi ke kanba gluta re mei .i .a bu noi xendo co'a mitysisku le za'u mei .i ku'i ri na se viska .i ro da ba lo nu .a bu limna lo lalxu cu simlu lo ka ba'o cenba .i lo barda kumfa poi vasru lo blaci jubme .e lo cmalu vorme ba'o mulno canci	It was the White Rabbit, trotting slowly back again, and looking anxiously about as it went, as if it had lost something; and she heard it muttering to itself 'The Duchess! The Duchess! Oh my dear paws! Oh my fur and whiskers! She'll get me executed, as sure as ferrets are ferrets! Where CAN I have dropped them, I wonder?' Alice guessed in a moment that it was looking for the fan and the pair of white kid gloves, and she very good-naturedly began hunting about for them, but they were nowhere to be seen—everything seemed to have changed since her swim in the pool, and the great hall, with the glass table and the little door, had vanished completely.
ni'o ba zi ku la ractu cu sanji la .alis. noi ru'u sisku ku'o gi'e fengu kixsku fi .abu fe «lu ue doi .merian. do ma zukte bu'u lo bartu .i ko ca bajra klama lo zdani gi'e bevri lo gluta re mei .e lo bifpra mi .i ko sutra li'u» .i la .alis. tai terpa ja'e lo nu .abu zi bajra fa'a lo farna poi ry jarco ku'o gi'e na troci lo nu ciksi lo se srera be ry	ni'o ba zi ku le ractu cu sanji la .alis. ca lo nu ri ru'u mitysisku .i je le ractu cu krixa cusku tai lo ka fengu vau fi .a bu fe lu .ue doi la meri'an do ma zukte bu'u lo bartu .i ko ca bajra klama lo zdani gi'e bevri lo gluta re mei .e lo tolfalnu mi .i ko sutra li'u .i la .alis. tai terpa .i ja'e bo .a bu zi bajra fa'a lo se jai gau zgana be le ractu gi'e na troci lo ka ciksi lo se srera be ri	Very soon the Rabbit noticed Alice, as she went hunting about, and called out to her in an angry tone, 'Why, Mary Ann, what ARE you doing out here? Run home this moment, and fetch me a pair of gloves and a fan! Quick, now!' And Alice was so much frightened that she ran off at once in the direction it pointed to, without trying to explain the mistake it had made.
ni'o «lu tu jinvi lo du'u mi tu zdase'u –sei .abu ca lo nu bajra cu sezysku– .i tu ba se spaji lo nu facki lo du'u mi me ma kau .i ku'i .e'e mi bevri lo bifpra .e lo gluta tu .y va'o lo nu da'i mi tolcri li'u» .i .abu ca lo nu cusku di'u cu penmi lo cnici ke cmalu zdani noi lo ke'a vrogai cu se dandu lo carmi lastu tapla noi lo cmene po'u «lu blabi ractu li'u» ba'o se ciska fi ke'a .i .abu nerkla se cau lo nu vrodarxi kei gi'e sutra lo nu serti cpare kei gi'e terpa lo nu penmi lo ca'a me la .merian. gi'e gau barkla lo zdani pu lo nu tolcri lo bifpra .e lo gluta	ni'o fe lu tu jinvi lo du'u mi tu zdani selfu –li'u fa .a bu cusku fi lo nei ca lo ka bajra vau fe lu .i tu ba se spaji lo ka facki lo du'u mi me ma kau .i ku'i .e'e mi bevri le tolfalnu .e le gluta tu .y va'o lo nu mi tolcri li'u .i .abu ca lo ka cusku di'u cu penmi lo cnici ke cmalu zdani noi lo ke'a vrogai cu se dandu lo carmi lastu tapla noi lo cmene poi du lu blabi ractu li'u ba'o se ciska fi ke'a .i .abu klama lo nenri fau lo ka na darxi le vrogai .i je .abu sutra lo ka skalera cpare .i je .abu terpa lo ka penmi lo ca'a me la meri'an .i je .abu gau klama lo bartu be lo zdani pu lo ka tolcri le tolfalnu .e le gluta	He took me for his housemaid,' she said to herself as she ran. 'How surprised he'll be when he finds out who I am! But I'd better take him his fan and gloves—that is, if I can find them.' As she said this, she came upon a neat little house, on the door of which was a bright brass plate with the name 'W. RABBIT' engraved upon it. She went in without knocking, and hurried upstairs, in great fear lest she should meet the real Mary Ann, and be turned out of the house before she had found the fan and gloves.
ni'o «lu ua cizra –sei la .alis. cu sezysku– fa lo nu mi selfu lo ractu .i ru'a za'u mai la .dinas. mi ba minde li'u» .i .abu co'a se xanri lo klesi be lo cuntu poi da'i fasnu .i «lu doi .nix.alis. ko ca klama ti gi'e bredi lo nu cadzu li'u» .i «lu mi ba zi klama doi kurji .i ku'i .ei mi jundi lo vi kevna gi'e fanta lo nu lo smacu cu barkla li'u» .i «lu ku'i ia nai curmi –sei la .alis. di'a co'e– lo nu la .dinas. cu stali lo zdani va'o lo nu dy co'a tai minde lo prenu li'u»	ni'o fe lu .ue tai cizra –li'u fa la .alis. cu cusku fi lo nei fe lu fa lo nu mi selfu lo ractu .i ru'a za'u mai la .dinas. mi ba minde li'u .i .abu co'a se xanri lo klesi be lo cuntu poi da'i fasnu .i lu doi nix .alis. ko ca klama ti gi'e bredi lo ka cadzu li'u .i lu mi ba zi klama doi le kurji .i ku'i .ei mi jundi lo vi kevna gi'e fanta lo nu lo smacu cu klama lo bartu li'u .i lu ku'i .ia nai curmi –li'u la .alis. di'a co'e– fa lu lo nu la .dinas. cu stali lo zdani va'o lo nu dy co'a tai minde lo prenu li'u	How queer it seems,' Alice said to herself, 'to be going messages for a rabbit! I suppose Dinah'll be sending me on messages next!' And she began fancying the sort of thing that would happen: '"Miss Alice! Come here directly, and get ready for your walk!" "Coming in a minute, nurse! But I've got to see that the mouse doesn't get out." Only I don't think,' Alice went on, 'that they'd let Dinah stop in the house if it began ordering people about like that!'
ni'o ca ku .abu zvati lo cnici ke cmalu kumfa noi lo jubme cu lamji lo canko be ke'a gi'e se cpana (to du'i lo .abu se pacna toi) lo bifpra .e ji'i ci cmatce ke blabi ke kanba gluta re mei .i .abu lebna lo bifpra .e pa lo gluta re mei gi'e pu'o cliva lo kumfa ca lo nu catlu fa'a lo cmalu botpi noi sanli lo jibni be lo minra ni'o ca lo ca krefu no da by tcita fi'o jufra «lu ko mi pinxe li'u» .i ku'i .abu gacri vimcu gi'e punji by lo .abu ctebi .i «lu ju'o ca ro nu mi pinxe ja citka da kei –sei .abu sezysku– ba'e de poi cinri cu fasnu .i se ki'u bo mi ba zgana lo nu lo vi botpi ma kau gasnu .i .a'o ti gasnu lo nu mi za'u re'u banro lo barda .i mi mutce lo ka tatpi lo nu tai cmatce li'u»	ni'o ca ku .abu zvati lo cnici ke cmalu kumfa noi lo jubme cu lamji lo canko be ke'a gi'e se cpana (to du'i lo .abu se pacna toi) le tolfalnu .e ji'i ci mutce cmalu ke blabi ke kanba gluta re mei .i .abu lebna le tolfalnu .e pa lo gluta re mei gi'e pu'o cliva lo kumfa ca lo ka catlu fa'a lo cmalu botpi noi sanli lo jibni be lo minra .i ca lo ca krefu no da tcita gi'e te ciska lu ko mi pinxe li'u .i ku'i .abu gacri vimcu gi'e punji le botpi lo .abu ctebi .i fe lu ju'o ba'e da poi cinri cu fasnu li'u fa .abu cusku fi lo nei fe lu ca ro nu mi pinxe ja citka de .i se ki'u bo mi ba zgana lo nu lo vi botpi ma kau gasnu .i .a'o ti gasnu lo nu mi za'u re'u banro lo barda .i mi mutce lo ka tatpi lo ka tai mutce cmalu li'u	By this time she had found her way into a tidy little room with a table in the window, and on it (as she had hoped) a fan and two or three pairs of tiny white kid gloves: she took up the fan and a pair of the gloves, and was just going to leave the room, when her eye fell upon a little bottle that stood near the looking-glass. There was no label this time with the words 'DRINK ME,' but nevertheless she uncorked it and put it to her lips. 'I know SOMETHING interesting is sure to happen,' she said to herself, 'whenever I eat or drink anything; so I'll just see what this bottle does. I do hope it'll make me grow large again, for really I'm quite tired of being such a tiny little thing!'
ni'o ja'a ca'a gasnu la'e di'u .i go'i pu lo se pacna be .abu .i pu lo nu .abu mo'u pinxe lo xadba be lo se botpi kei lo stedu be .abu ca'o catke lo drudi .i .abu bilga lo nu korcu kei lo nu marbi lo cnebo lo nu porpi .i .abu sutra lo nu punji lo botpi kei gi'e sezysku «lu banzu .i .a'o mi co'u banro .i ca ku mi na ka'e pagre lo vorme .i .au mi na pu pinxe lo tai mutce li'u»	ni'o ja'a ca'a gasnu la'e di'u .i go'i pu lo se pacna be .abu .i pu lo nu .abu mo'u pinxe lo xadba be le se botpi vau .abu facki lo du'u lo stedu be ce'u ca'o catke lo drudi .i je .abu jai se bapli fai lo ka korcu te zu'e lo nu marbi lo cnebo lo nu porpi .i .abu sutra lo ka punji lo botpi .i je .abu cusku fi lo nei fe lu banzu .i .a'o mi co'u banro .i ca ku mi na ka'e pagre lo vorme .i .au sai mi na pu pinxe lo tai mutce li'u	It did so indeed, and much sooner than she had expected: before she had drunk half the bottle, she found her head pressing against the ceiling, and had to stoop to save her neck from being broken. She hastily put down the bottle, saying to herself 'That's quite enough—I hope I shan't grow any more—As it is, I can't get out at the door—I do wish I hadn't drunk quite so much!'
ni'o .oi dukse lo ka lerci kei fa lo nu djica la'e di'u .i .abu banro gi'e za'o banro gi'e ba zi bilga lo nu sanli lo loldi lo cidni .i ba zi bo lo canlu na banzu la'e di'u ji'a sai .i .abu troci lo nu vreta gi'e punji ge lo bircidni lo lamji be lo vorme gi lo drata birka lo sruri be lo stedu .i ku'i .abu za'o banro .i uo .abu tolse'a lo birka lo zdani pa'o lo canko gi'e setca lo jamfu lo danmo tubnu gi'e sezysku «lu uo mi na ka'e gasnu lo bancu .i mi ma ba lifri li'u»	ni'o .oi du'e va'e lo lerci fa lo nu djica la'e di'u .i .abu banro gi'e za'o banro gi'e ba zi bilga lo ka sanli lo loldi lo cidni .i ba zi bo lo canlu na banzu la'e di'u ji'a sai .i .abu troci lo ka vreta gi'e punji ge lo bircidni lo lamji be lo vorme gi lo drata birka lo sruri be lo stedu .i ku'i .abu za'o banro .i ro mai .abu to'e setca pa lo birka ne pa'o lo canko lo zdani gi'e setca lo jamfu lo danmo tubnu gi'e cusku fi lo nei fe lu .uo mi na ka'e gasnu lo bancu .i mi ma ba lifri li'u	Alas! it was too late to wish that! She went on growing, and growing, and very soon had to kneel down on the floor: in another minute there was not even room for this, and she tried the effect of lying down with one elbow against the door, and the other arm curled round her head. Still she went on growing, and, as a last resource, she put one arm out of the window, and one foot up the chimney, and said to herself 'Now I can do no more, whatever happens. What WILL become of me?'
ni'o zanfu'a la .alis. fa lo nu lo cmalu ke makfa botpi ca mulno lo ka ce'u ma kau rinka .i .abu ca na banro lo bramau gi'e ku'i mutce lo ka tolkufra .i za'a na cumki fa lo nu .abu cu za'u re'u bartu lo kumfa .i se ki'u bo .abu tolgei ue nai	ni'o sei zabna funca be la .alis. lo ve'i makfa botpi ca mulno lo ka rinka ma kau .i .abu ca na banro lo zmadu gi'e ku'i mutce lo ka to'e kufra .i za'a na cumki fa lo nu .abu cu za'u re'u bartu lo kumfa .i se ki'u bo .abu cinmo lo ka to'e gleki .ue nai	Luckily for Alice, the little magic bottle had now had its full effect, and she grew no larger: still it was very uncomfortable, and, as there seemed to be no sort of chance of her ever getting out of the room again, no wonder she felt unhappy.
ni'o «lu lo mi zdani ti mutce zmadu lo ka pluka –sei la .alis. uu cu pensi– .i bu'u zy ge nai ro roi zenba jo'u jdika gi nai ro roi se minde lo smacu .a lo ractu .i .au nai ru'e mi na klama fo lo ractu kevna .i ku'i .i ku'i cizra fa lo tai nu jmive .i mi ja'a kucli lo du'u mi ma kau ca'a lifri .i mi ca lo nu tcidu lo crida lisri cu krici lo du'u lo tai cuntu no roi fasnu .i ca ku mi cy midju .i .ei da finti lo cukta mi .i ie .ei go'i .i .ai mi ca lo nu ba'o banro cu finti .i ku'i mi ca ba'o banro –sei .abu badri jmina– .i ba'u nai lo bu'u canlu na banzu lo nu banro lo bancu li'u»	ni'o lu pu mutce zmadu pluka –bu'u le zdani li'u se pensi ke .uu la .alis. fa lu noi bu'u ke'a ge nai ro roi zenba ce'o jdika gi nai ro roi se minde lo smacu .a lo ractu .i .au nai ru'e mi na klama fo lo ractu kevna .i ku'i .i ku'i cizra fa lo tai nu jmive .i mi ja'a kucli lo du'u mi ma kau nu'o pu lifri .i mi ca lo ka tcidu lo crida lisri cu krici lo du'u lo tai cuntu no roi fasnu .i ca ku mi zvati lo me le cuntu .i .ei da finti lo cukta mi .i .ie .ei go'i .i .ai mi ca lo ka ba'o banro cu finti li'u. lu .i ku'i mi ca ba'o banro –li'u .abu se ke badri jmina– fa lu .i ba'u nai lo bu'u canlu na banzu lo nu banro lo bancu li'u	It was much pleasanter at home,' thought poor Alice, 'when one wasn't always growing larger and smaller, and being ordered about by mice and rabbits. I almost wish I hadn't gone down that rabbit-hole—and yet—and yet—it's rather curious, you know, this sort of life! I do wonder what CAN have happened to me! When I used to read fairy-tales, I fancied that kind of thing never happened, and now here I am in the middle of one! There ought to be a book written about me, that there ought! And when I grow up, I'll write one—but I'm grown up now,' she added in a sorrowful tone; 'at least there's no room to grow up any more HERE.'
ni'o «lu ku'i ja'o –sei la .alis. cu pensi– mi ba no roi zenba lo ka tolcitno .i la'e di'u pluka .i mi no roi tolcitno ninmu .i ku'i mi ro roi cilre da .ei .i .oi .au nai go'i li'u»	ni'o lu ku'i ja'o li'u se pensi la .alis. fa lu mi ba no roi zenba lo ka laldo .i la'e di'u pluka da'i .i mi no roi laldo ninmu .i ku'i mi ro roi cilre da .ei .i .oi .au nai go'i li'u	But then,' thought Alice, 'shall I NEVER get any older than I am now? That'll be a comfort, one way—never to be an old woman—but then—always to have lessons to learn! Oh, I shouldn't like THAT!'
ni'o «lu .oi doi .alis. noi bebna –sei .abu sezyspuda– ta'i ma do da bu'u ka'e cilre .i ue lo canlu ja'a ru'e banzu tu'a do .i no da bu'u canlu lo ve cilre cukta li'u»	ni'o lu .oi doi lo bebna be fa la .alis. li'u .abu spusku fi lo nei fa lu ta'i ma do da bu'u ka'e cilre .i .ue lo canlu ja'a ru'e banzu tu'a do .i no da bu'u canlu lo ctuca cukta li'u	Oh, you foolish Alice!' she answered herself. 'How can you learn lessons in here? Why, there's hardly room for YOU, and no room at all for any lesson-books!'
ni'o .abu ca'o co'e .i pa mai darlu lo mlana gi'e re mai darlu lo drata gi'e zbasu lo vajni nuncasnu lo ro mei .i ku'i ba lo mentu be li so'o .abu tirna lo voksa noi bartu ku'o gi'e sisti te zu'e lo nu tinzga	ni'o .abu co'e ca'o ku ce'e ta'i lo ka pa mai darlu fe pa mai je fi re mai da gi'e ja'e bo zbasu lo vajni se casnu lo ro mei .i ku'i ba lo mentu be li so'o .abu tirna lo voksa noi bartu .i je .abu sisti te zu'e lo ka jai zu'e jundi	And so she went on, taking first one side and then the other, and making quite a conversation of it altogether; but after a few minutes she heard a voice outside, and stopped to listen.
ni'o «lu doi .merian. doi .merian. –sei lo voksa cu cusku– ko bevri lo mi gluta mi ca ku li'u» .i ba bo tirna lo nu cmalu ke jamfu stapa lo serti .i la .alis. cu djuno lo du'u la ractu cu klama te zu'e lo nu sisku .abu .i .abu desku ja'e lo nu lo zdani cu desku .i .abu tolmorji lo nu ge .abu ca kilto la ractu lo ka barda gi se ki'u bo no da krinu lo nu terpa ry	ni'o lu doi meri'an doi meri'an –li'u se cusku lo voksa fa lu .e'i ko bevri fi mi fe lo mi gluta ca ku li'u .i ba bo tirna lo nu cmalu ke jamfu stapa lo skalera .i la .alis. cu djuno lo du'u le ractu cu klama te zu'e lo ka mitysisku .abu .i .abu desku ja'e lo ka jai gau desku fai lo zdani .i je .abu co'u morji lo nu ge .abu ca kilto le ractu lo ka barda gi se ki'u bo no da ka'e krinu lo nu terpa ry	Mary Ann! Mary Ann!' said the voice. 'Fetch me my gloves this moment!' Then came a little pattering of feet on the stairs. Alice knew it was the Rabbit coming to look for her, and she trembled till she shook the house, quite forgetting that she was now about a thousand times as large as the Rabbit, and had no reason to be afraid of it.
ni'o ca ku la ractu cu tolcliva lo vorme gi'e troci lo nu kargau vy .i ku'i lo se troci cu fliba ki'u lo nu ge .ei lo vrogai fa'a ne'i karbi'o gi lo bircidni be la .alis. cu catke vy .i la .alis. cu tirna lo nu ry sezysku «lu .ai mi srukla gi'e nerkla fo lo canko li'u»	ni'o ca ku le ractu cu tsuku lo vorme gi'e troci lo ka jai gau kalri fai ri .i ku'i ki'u lo nu ge le vrogai fa'a ne'i co'a kalri gi lo bircidni be la .alis. cu catke le vrogai vau lo se troci cu fliba .i la .alis. cu tirna lo nu ry cusku fi lo nei fe lu .ai mi ru'u klama gi'e klama lo nenri fo lo canko li'u	Presently the Rabbit came up to the door, and tried to open it; but, as the door opened inwards, and Alice's elbow was pressed hard against it, that attempt proved a failure. Alice heard it say to itself 'Then I'll go round and get in at the window.'
ni'o «lu na ba go'i –sei la .alis. cu pensi– li'u» .i .abu denpa lo nu krici lo du'u tirna lo nu la ractu cu cnita lo canko .i ba zi bo .abu jai suksa fai lo nu pejgau lo xance gi'e jgari lo vacri .i .abu kavbu no da gi'e ku'i tirna lo cmalu se krixa .e lo nu farlu .e lo porpi blaci sance gi'e nibji'i la'e di'u lo du'u cumki fa lo nu ry farlu lo guzme tanxe .a lo simsa	ni'o lu do na ba li'u se pensi la .alis. .i .abu denpa lo ka da'i nai krici lo ka tirna lo nu le ractu cu cnita lo canko .i ba zi bo .abu jai suksa fai lo ka jai gau preja fai lo xance be vo'a gi'e jgari lo vacri .i .abu kavbu no da gi'e ku'i tirna lo cmalu se krixa je lo nu farlu je lo porpi blaci sance gi'e co'a jinvi lo be la'e di'u jetnu fa lo du'u cumki fa lo nu ry farlu lo guzme tanxe .a lo simsa	THAT you won't' thought Alice, and, after waiting till she fancied she heard the Rabbit just under the window, she suddenly spread out her hand, and made a snatch in the air. She did not get hold of anything, but she heard a little shriek and a fall, and a crash of broken glass, from which she concluded that it was just possible it had fallen into a cucumber-frame, or something of the sort.
ni'o baku lo fengu voksa (to be la ractu toi) cu co'e «lu ju'i .pat. ju'i .pat. do ma zvati li'u» .i ba bo lo voksa noi .abu ke'a na pu tirna cu co'e «lu ju'o mi ti zvati .i mi kakpa sisku lo plise doi banli li'u»	ni'o baku lo fengu voksa be sa'e la ractu cu co'e lu ju'i la pat ju'i la pat ma se zvati do li'u .i ba bo lo voksa noi .abu ke'a na pu tirna cu co'e lu ju'o mi zvati ti .i mi kakpa mitysisku lo plise doi lo banli li'u	Next came an angry voice—the Rabbit's—'Pat! Pat! Where are you?' And then a voice she had never heard before, 'Sure then I'm here! Digging for apples, yer honour!'
ni'o «lu .o'o nai kakpa sisku lo plise –sei la ractu cu fengu cusku– .i ko mi klama gi'e sidju lo nu mi ba'e ti bartu li'u» (to sance lo drata ke porpi blaci toi)	ni'o lu .o'o nai kakpa mitysisku lo plise –li'u se ke fengu cusku le ractu. fa lu .i ko mi klama gi'e sidju lo nu mi bartu ba'e ti li'u (to sance lo drata ke porpi blaci toi)	Digging for apples, indeed!' said the Rabbit angrily. 'Here! Come and help me out of THIS!' (Sounds of more broken glass.)
ni'o «lu pau ju'i .pat. ta poi zvati lo canko cu mo li'u»	ni'o lu pau ju'i la pat tu poi zvati lo canko cu mo li'u	Now tell me, Pat, what's that in the window?'
ni'o «lu ju'o ta birka doi banli li'u» (to py bacru zo biryrka toi)	ni'o lu ju'o tu birka doi lo banli li'u (to py bacru zo biryrka toi)	Sure, it's an arm, yer honour!' (He pronounced it 'arrum.')
ni'o «lu birka doi bebna .i ma pu viska lo birka poi tai barda .i ta se tisna pi ro lo canko li'u»	ni'o lu birka doi lo bebna .i ma ka'e ku birka gi'e tai barda .i tu se tisna ro pagbu be le canko li'u	An arm, you goose! Who ever saw one that size? Why, it fills the whole window!'
ni'o «lu ju'o go'i doi banli .i ku'i ta ca'a birka li'u»	ni'o lu ju'o doi lo banli .i ku'i tu ca'a birka li'u	Sure, it does, yer honour: but it's an arm for all that.'
ni'o «lu .i se ju no da va cuntu ta .i ko ta vimcu li'u»	ni'o lu .i se ju no da va cuntu tu .i ko tu vimcu li'u	Well, it's got no business there, at any rate: go and take it away!'
ni'o baku ze'u smaji .i la .alis. so'u roi tirna lo lauble selsku no'u mu'a «lu ju'o mi na nelci doi banli .i na sai go'i li'u» .e «lu ko zukte tai lo mi te minde doi tolvri li'u» .i uo .abu cu re re'u pejgau lo xance gi'e re re'u jgari lo vacri .i ca ku tirna re cmalu se krixa .e lo porpi blaci sance drata .i «lu ue xo kau guzme tanxe cu zvati –sei la .alis. cu pensi– .i .a'u ma ba zi se zukte .i lo nu lacpu mi pa'o lo canko zo'u: .au kakne .i ju'o mi na djica lo nu za'o stali ti li'u»	ni'o baku ze'u smaji .i la .alis. so'u roi tirna lo to'e cladu se cusku noi mupli fa lu ju'o mi na nelci doi lo banli .i na sai go'i li'u .e lu ko zukte tai lo mi te minde doi lo terpa li'u .i .uo .abu cu re re'u jau gau preja fai lo xance gi'e re re'u jgari lo vacri .i ca ku tirna re cmalu se krixa .e lo drata ke porpi blaci sance .i lu .ue xo kau guzme tanxe cu zvati li'u se pensi la .alis. fa lu .i .a'u ma ba zi se zukte .i lo nu lacpu mi pa'o lo canko zo'u: .au le za'umei cu kakne .i .au mi na za'o stali ti li'u	There was a long silence after this, and Alice could only hear whispers now and then; such as, 'Sure, I don't like it, yer honour, at all, at all!' 'Do as I tell you, you coward!' and at last she spread out her hand again, and made another snatch in the air. This time there were TWO little shrieks, and more sounds of broken glass. 'What a number of cucumber-frames there must be!' thought Alice. 'I wonder what they'll do next! As for pulling me out of the window, I only wish they COULD! I'm sure I don't want to stay in here any longer!'
ni'o .abu ze'a denpa gi'e tirna no lo za'u moi .i ro mai tirna lo sance be lo cmalu carce xislu .e so'i sai voksa noi tavla kansi'u .i .abu snada lo nu jimpe tu'a lo valsi .i «lu lo drata serti ma zvati .i ua .ei mi bevri lo pa mei .i la .bil. cu co'e lo drata .i ju'i .bil. ko ta ti bevri doi citno .i ko ta punji lo vi kojna .i na go'i .i pu ku ko ta jonsimgau .i ta za'o na preja lo galtu banzu .i ju'o ta ba xamgu banzu .i ko na tcila jundi .i ju'i .bil. ko jgari lo vi skori .i xu lo drudi ba sarji .i ko jundi lo va kluza tapla .i .oi ta ca'o farlu ju'i cnita (to sa'a cladu popsna toi) .i ma ta gasnu .i ru'a la .bil. .i ma ba cnita klama fo lo danmo tubnu .i mi na.e ko go'i .i vi'o nai .i la .bil. ba go'i .i ju'i .bil. lo selse'u do minde lo nu do cnita klama fo lo danmo tubnu li'u»	ni'o .abu ze'a denpa gi'e tirna no boi za'u moi .i ro mai tirna lo sance be lo cmalu carce xislu .e so'i sai voksa be lo tavla be zu'ai .i .abu snada lo ka jimpe tu'a lo valsi .i cu'ei lo drata skalera ma zvati .i cu'ei .ua .ei mi bevri lo pa mei .i cu'ei la bil co'a ralte lo drata .i cu'ei ju'i la bil ko ta ti bevri doi lo citno .i cu'ei ko ta punji lo vi kojna .i cu'ei na .i pu ku gau ko ta jorne zu'ai .i cu'ei ta na preja lo xadba be lo banzu galtu .i cu'ei ju'o ta ba banzu xamgu .i ko na tcila jundi .i cu'ei ju'i la bil ko jgari lo vi skori .i cu'ei xu lo drudi ba sarji .i cu'ei ko jundi lo va kluza tapla .i cu'ei .oi ta ca'o farlu ju'i lo cnita (to sa'a cladu sance lo nu porpi toi) .i cu'ei .uo ma ta gasnu .i cu'ei ru'a la bil .i cu'ei ma ba klama lo cnita fo lo danmo tubnu .i cu'ei mi na .e ko .i cu'ei vi'o nai .i cu'ei la bil ba .i cu'ei ju'i la bil lo se selfu do minde lo ka klama lo cnita fo lo danmo tubnu	She waited for some time without hearing anything more: at last came a rumbling of little cartwheels, and the sound of a good many voices all talking together: she made out the words: 'Where's the other ladder?—Why, I hadn't to bring but one; Bill's got the other—Bill! fetch it here, lad!—Here, put 'em up at this corner—No, tie 'em together first—they don't reach half high enough yet—Oh! they'll do well enough; don't be particular—Here, Bill! catch hold of this rope—Will the roof bear?—Mind that loose slate—Oh, it's coming down! Heads below!' (a loud crash)—'Now, who did that?—It was Bill, I fancy—Who's to go down the chimney?—Nay, I shan't! YOU do it!—That I won't, then!—Bill's to go down—Here, Bill! the master says you're to go down the chimney!'
ni'o «lu .a'a .ei pei la .bil. cu cnita klama fo lo danmo tubnu –sei la .alis. cu sezysku– .i su'a la .bil. cu bilga lo nu zukte ro da .i mi na basti la .bil. gi'u te pleji lo mutce .i lo vi fagzda ja'a jarki .i ku'i pe'i mi ka'e tikpa milxe li'u»	ni'o lu .a'a .ei pei la bil cu klama lo cnita fo lo danmo tubnu li'u se cusku la .alis. fi lo nei. fa lu .i su'a la bil cu bilga lo ka zukte ro da .i mi na basti la bil gi'u te pleji lo mutce .i lo vi fagrystu ja'a jarki .i ku'i pe'i mi ka'e milxe tikpa li'u	Oh! So Bill's got to come down the chimney, has he?' said Alice to herself. 'Shy, they seem to put everything upon Bill! I wouldn't be in Bill's place for a good deal: this fireplace is narrow, to be sure; but I THINK I can kick a little!'
ni'o .abu tolse'a lo jamfu lo tubnu se rai lo kamvli gi'e denpa lo nu tirna lo cmalu danlu (to .abu na smadi lo du'u danlu ma kau toi) noi sraku je srukla ne'i lo tubnu ga'u ne'a .abu .i ba zi bo .abu ca lo nu sezysku «lu ti me la .bil. li'u» cu pa roi kinli tikpa gi'e denpa lo nu zgana lo nu ma kau ba fasnu	ni'o .abu to'e setca lo jamfu lo tubnu se rai lo ka vlipa .i je bu .abu denpa lo ka da'i nai tirna lo cmalu danlu (to .abu na smadi lo du'u danlu ma kau toi) noi sraku gi'e ru'u klama ne'i lo tubnu ga'u ne'a .abu .i ba zi bo .abu ca lo la cusku fi lo nei fe lu ti du la bil li'u cu pa roi kinli tikpa gi'e denpa lo ka zgana lo nu ma kau ba fasnu	She drew her foot as far down the chimney as she could, and waited till she heard a little animal (she couldn't guess of what sort it was) scratching and scrambling about in the chimney close above her: then, saying to herself 'This is Bill,' she gave one sharp kick, and waited to see what would happen next.
