jbovla	lojbo	glico
festi	ko bevri le festi be le grute le klaji	Take the fruit scraps to the street.
fetsi	ti fetsi le finpe le ka se ganti ma kau	This fish is female in having a certain kind of gonads.
fi	mi dunda fe tu'a ti fi do	I give this to you.
fi	mi co'i klama fi le tsani	I came from the sky.
fi'a	lu do klama fi'a le mi'u zdani li'u lu fi li'u	"Are you going home, from home or?" "From home."
fi'i	fi'i le vitke be le zdani be mi'a	Welcome to our house.
fi'i	do le'o co'e ne'a le zdani be mi fi'i nai	How dare you show up near my house, go away!
fi'o	le mi'u mlatu pu plipe fi'o suksa	The cat jumped quickly.
fi'o	le mi'u nabmi cu nandu fi'o jinvi so'i prenu	The problem is difficult according to many people.
fi'u	mi pu citka pa fi'u ci plise	I ate 1/3 of an apple.
fi'u	le re fi'u ci si'ei be le prenu na kakne le ka limna	Two thirds of people can't swim.
fi'u	le se klani be fi le ka clani be'o fi'u le se klani be fi le ka ganra cu du li fi'u	The length is in golden ratio to the length.
fi'u	mi pu te vecnu pa re fi'u re sovda	I bought half a dozen eggs.
figre	mi nelci ti noi crino figre	I like these green figs.
finpe	mi se pluka le ka kalte le finpe	I like fishing.
finti	.i mi pu finti le lisri le ka zdile le verba vau le se lifri be mi	I created a story out of my real experience to amuse the child.
firca	ko sisti le ka firca le mensi be mi le ka benji le jai se dunda ri	Stop flirting with my sister by sending her gifts.
flalu	le flalu be le ka na ralte le gerku bei ro se zdani cu cizra	The law specifying that no citizen should keep a dog is crazy.
flani	le sance be le mi'u flani cu jai pluka	The flute has a pleasant sound.
flaume	le pa spisa be le flaume torta ije uo mi ba'o xagji	A piece of a plum cake, and, voilà, I'm no longer hungry.
flecu	ti flecu le condi pa lalxu pa galtu krasi pe bu'u lei cmana	This is a current in a deep bed running towards a lake from high springheads in the mountains.
fliba	mi za'u re'u fliba le mi'u cipra	I failed the test again.
fliba	le mi'u se troci pu se fliba	The attempt failed.
fliba	mi fliba le ka zvafa'i le mi'u penbi	I can't find the pen.
flira	u'e melbi flira ra	What a nice face she has!
flira	ra pu minde mi le ka lumci le flira be mi	He told me to wash my face.
flu'ente	ti flu'ente pa lalxu pa galtu krasi pe bu'u lei cmana le condi	This is a current in a deep bed running towards a lake from high springheads in the mountains.
flu'ente	le flu'ente pe le bu'u tcadu cu carmi	The traffic in this city is intense.
flu'ente	le nazbi be mi cu ve flu'ente	I have a runny nose.
flu'ente	le mi'u cmana mo'u se flu'ente le glare	The mountain erupted jetting hot matter.
fo	mi pu ciksi fe le nu mi pu na zvati vau fo le nu mi pu bilma	I explained that I was absent because I was ill.
foldi	mi vreta bu'u pa foldi be le xrula	I'm lying on a flower field.
fonmo	le mi'u glare pu ru'i cupra le fonmo be le djacu bei le gapci	The heat was producing bubbles of gas in the water.
fonxa	ti fonxa le skori e nai le te cradi	This is a landline phone, not a radiophone.
forca	ti forca le nu jukpa vau le ci mei le mudri	This is a wooden fork for cooking with three tines.
fragari	le fragari cu je'a titla	Strawberries are really sweet.
fraso	xu do tavla fo le fraso	Do you speak French?
fraxu	ko fraxu mi le ka jai lerci	Forgive me for being late.
frica	mi frica do le ka nelci ma kau	You and I differ from each other in what we like.
friko	au mi viska le friko xanto	I want to see African elephants.
frili	ti voi karce cu jai frili fai le nu ri se sazri	This car is easy to handle.
frili	na pu frili mi fa le ka zvafa'i lei mi'u ckiku	It wasn't easy for me to find the keys.
frinu	li re frinu li bi li vo	2 = 8 / 2.
friti	mi pu friti fi le mi'u mamta fe le nu mi sidju le mi'u verba le ka klama le cnita	I offered the mother to help the child to go down.
frumu	le mi'u nakni pu frumu ca le nu ri catlu mi	He frowned looking at me.
fu	mi ba benji le xatra fu le kibro	I will send the letter via the internet.
fu'au	fu'au mi se e'ande fi le ka dasni le tordu skaci	Luckily, I'm allowed to wear a short skirt.
fu'au	do ca zvati le zdani fu'au dai	You are now at home, lucky you.
fu'au	fu'au nai le vi dacti na mutce da'i le ka plixau	Unluckily, this thing wouldn't be of big help.
fu'au	fu'au nai no da pu ganse le nu le mi'u ninmu ba'o kansa mi'a	Unluckily, no one noticed that she was no longer with us.
fu'e	mi viska pa fu'e ia cizra zdani fu'o	I can see what I believe is a strange house.
fu'e	mi ca klama le drata tcadu fu'e ta'o de'i li jy dy re te zu'e le ka viska lei rirni be mi fu'o	I am going to another city (on Tuesday, by the way, to visit my parents).
fu'i	e'e fu'i mi cpare le mi'u cmana	I can easily climb the mountain, I can go for it!
fu'i	ui fu'i nai mi mo'u klama le korbi be le tcadu	Yay, that was hard but now I'm at the edge of the city.
fukpi	mi ralte pa fukpi be ti noi pixra bei pa bukpu pe le jubme bei le nu prina	I have a printed copy of this picture made as a tablecloth.
fulta	le morsi pezli xu fulta le sefta be le mi'u djacu	Dead leaves float on the surface of the water.
funca	mi se funca le ka se jundi ro da	I'm lucky in that everybody listens to me.
fusra	pa perli mo'u fusra	There is one pear and it is rotten.
fuzme	la alis pu jai se facki fai le du'u ri na fuzme le zekri vau le kamni	Alice was found not responsible for the crime by the committee.
ga	ga mi citka gi mi kelci	I either eat or play, or do both.
ga'a	ga'a mi ca cerni	To me it's morning now.
ga'i	do nitcu ma doi le pikci ga'i	What do you need, you beggar?
ga'i	mi ro do ga'i cu'i tavla	I'm talking to you, my peers.
ga'i	e'o doi le turni ko sidju mi'a ga'i nai sai	Please, governor, help us, worthless people.
ga'u	pu bumru ga'u le lalxu	There was mist over the river.
gacri	le snime cu gacri le mi'u dertu	Snow covers the ground.
gadri	zo le mi'u gadri lu nu dansu li'u	{le} is a gadri.
gai	mi citka de'i li cy gai	I eat at noon (12 o'clock).
galfi	le mi'u mamta pu galfi le mi'u rectu jo'u le mi'u nanba le pluka snuji	Mother turned the meat and the bread into lovely sandwiches.
galfi	ju'o le mi'u ninmu ba galfi la kevin le speni be vo'a	I'm sure she will make Kevin her spouse.
galfi	le lenku brife pu galfi le mi'u pezli le bunre	The cold wind turned the leaves brown.
galtu	le cipni poi ca'o vofli cu galtu mi lei cmana	To me the flying bird is high above the mountains.
galxe	da'i le djacu cu xamgu le galxe be do	Water would be fine for your throat.
ganlo	le mi'u vorme cu ganlo le nenri le fange	The door is closed not letting the strangers in.
ganra	le mi'u tricu cu ganra le ka se midju	The tree is thick in the middle.
ganse	mi ganse le nu ti cpina vau le ka smaka ri	I sense it being irritating by tasting it.
ganti	le xanto cu se ganti le barda le nakni	Male elephants have large testicles.
ganxo	le mi'u mikce pu kucli tu'a le nabmi pe le ganxo be le mi'u nanmu	The doctor was curious about the problem with the anus of the man.
ganzu	le mi'u turni pu ganzu le ruble prenu le vlipa jenmi le ka bapli le nu le mi'u jenmi cu zukte le te minde	He turned weak people into a powerful army by making them execute orders.
gapci	ti noi karce cu se livla le gapci	This car is powered by gas.
gapru	le mi'u solri ca gapru mi	The Sun is now above me.
garna	ti garna le xance	This is a handrail.
gasnu	do pu gasnu le nu mi klaku	You made me cry.
gasta	le balre be ti noi dakfu cu gasta	The blade of this knife is made of steel.
gau	ba gau mi do cliva	I will make you leave.
gau	mi pu jai gau citka fai le mi'u verba	I fed the child.
ge	mi ge citka pa torta gi pinxe le jisra	I both eat a cake and drink some juice.
ge'e	ge'e le mlatu pe mi mo'u se jbena pa no da	Well, my cat has given birth to ten kittens.
ge'i	lu do ge'i citka le torta gi pinxe le jisra li'u lu ge li'u	"What connective of GA series matches your situation: you eat a cake, you drink some juice?" "I do both."
gei	ca ro snidu le'e jgalu cu zenba le ka mitre vau li gei ni'u so	Fingernail grows about one nanometer every second.
genja	ti noi spati cu se genja le clani	This plant has long roots.
genxu	mi pu kavbu pa finpe pa genxu	I caught a fish with a hook.
gerku	mi jai gau citka fai le gerku pe mi re roi ro djedi	I feed my dog twice a day.
gerna	le du'u lo'e gadri cu lidne lo'e sinxa be lo se bridi cu gerna la .lojban. lo'e su'o sumti	That gadri precede selbri is the grammar of Lojban for some sumti.
gerna	.i zoi ry.привет.ry. te gerna le rusko	"привет" is a Russian text.
gi	ge do gi mi nelci le'e perli	Both you and I like pears.
gi'a	mi citka gi'a sanga	I do at least one of the following: I drink and I sing. I drink or I sing.
gi'e	ai mi lumci le kumfa gi'e jukpa le nanba	I'm going to clean the room and cook bread.
gi'e nai	mi tavla bau la lojban gi'e nai certu tu'a ri	I speak Lojban but I'm not an expert in it.
gi'i	do klama gi'i stali	Are you going or staying?
gi'o	ro da ka'e prenu gi'o ka'e tavla	Everyone either can be a person and can talk, or have none of that.
gi'u	mi citka gi'u sanga	I eat (whether or not I sing).
gidva	ra gidva mi le ka tadni la lojban	He guides me in studying Lojban.
gigdo	ti voi tcana cu benji ca ro snidu pa gigdo be lo ka bitni bei lo ka vreji	This network station sends 1 gigabit of data per second.
gigdo	le kagni cu ponse le gigdo be le ka rupnu bei le ka ba zi pilno	The company owns a billion dollars that it will soon use.
ginka	mi'ai pu zbasu pa ginka pe bu'u le mi'u lalxu	We made camp near the lake.
ginka	mi'ai pu se ginka ze'a le jeftu	We camped there for a week.
girzu	mi cmima lo girzu be le ka tadni la lojban	I belong to a group of those who learn Lojban.
gismu	zo zgana gismu	{zgana} is a gismu (root verb).
glare	le mi'u tcati cu glare	The tea is hot.
gleki	mi gleki le nu do jinga	I am happy that you won.
gletu	ko na gletu ra mu'i le nu do djica ku po'o	Don't have sex with her just because you want to.
glico	mi traduki le vi uenzi le glico	I'm translating this text to English.
gluta	le mi'u gluta pu jai gau stodi fai le xance be ra le ka mligla	The gloves kept her hands warm.
go	go la alis ba lumci le kumfa gi la kevin cu sidju la alis	Alice will clean a room if, and only if, Kevin helps her.
go'a	au mi ne ka'ai do zgana pa cnino skina i ku'i za'a do ca zukcfu so'i da i ca ma mi'o ka'e go'a	I'd like to watch a new movie with you. But as I can see you are very busy now. When can we do that?
go'i	.au mi penmi do i xu le nu go'i cu cumki	I'd like to meet you. Is this possible?
go'o	sa'u mi pu jinvi le nu go'o i do mutce le ka tatpi	I simply thought this: you are very tired.
gocti	lo'e pa protoni cu gocti le ka grake li ji'i pa pi ze vau le ka tilju	Proton is approximately 1.7 Yoctogram in mass.
goi	i'a da goi ko'a dinju	Okay, so there is a house, let's call it {ko'a} from now on.
goi	ko'a simlu le ka zarci i je so'i prenu ta'e klama le nenri jo'u le bartu i ji'a cinri fa le nu pa canko be ko'a cu spofu	ko'a looks like a store, many people go in and out. In addition, it's interesting that there is a window in ko'a that is broken.
gotro	le terdi cu gotro le ka grake li ji'i pa ki'o vau le ka tilju	The mass of the Earth is approximately 6000 Yottagram.
gradu	ti voi foldi doi la xunre mapku cu gradu le ka clani vau le ka do klama le zdani be le mamta be mi fo le se cmima be ce'u	This field, oh Red Hood, is a unit of length on your way to my mother's home.
grake	lei plise cu grake li pa ki'o	The apples are 1 kilogram in weight.
grana	ra pu jgari pa grana	He was holding a rod.
grasu	ko punji le so'o grasu le mi'u xislu	Put some grease on the wheel.
grasu	ri se savru	It squeaks.
gredile	ti gredile le ci pinta jo'u le re sraji	It's a grid with three horizontal and two vertical lines.
greku	le greku be le mi'u bitmu cu mudri	The frame of the fence is wooden.
grusi	ca le nicte ro mlatu cu grusi	At night, all cats are grey.
grute	ti noi grute be le plise cu crino	This apple fruit is green.
gu	la alis cu gu stati gi melbi	Alice is smart whether or not she is beautiful.
gu'a	le nu litru ba gu'a clani gi ckape	The journey will be dangerous or long.
gu'e	ca pa djedi mi ba gu'e badri gi gleki da	One day there will be something so that I will be both sad and happy about.
gu'i	lu do gu'i citka gi pinxe li'u lu ge li'u	"Do you eat or drink?" "Both."
gu'o	ai mi te vecnu pa gu'o cnino gi kargu karce	I'm going to buy an expensive car if and only if it is new.
gu'u	ai mi te vecnu pa gu'u kargu gi cnino karce	I'm going to buy a new car whether or not it is expensive.
gubni	le mi'u panka cu gubni le prenu	The park is public and open to people.
gugde	ti gugde le cilce prenu le na'e barda	This is a country of wild people covering not a big territory.
gugde	.i ti te gugde mi'a	This is our land.
gumri	ti noi gumri cu vindu le remna	This mushroom is poisonous to humans.
gundi	le mi'u gundi be le taxfu be le ka macnu se cupra cu carmi le ka farvi	The industry of producing handmade dresses is intensely developing.
gundi	mi se cuntu le gundi be le zgike	I am involved in music industry.
gunka	mi gunka le ka tadni la lojban vau le ka sutra tavla bau la lojban	I'm working on learning Lojban in order to quickly talk in it.
gunma	pa gunma be le prenu ca'o sruri le mi'u dinju	The crowd of people is surrounding the building.
gunro	ba bo le mi'u verba co'a gunro pa salpo mo'i ni'a fi le cutne be vo'a	And then the child started rolling down the slope rotating around his chest.
gunro	mi ca'o gunro le vacri	I am spinning in the air.
gunse	ju'i do ci gunse ca'o limna le mi'u lalxu	Hey, look, three geese are swimming in the lake.
gunta	lei ratcu ca'o gunta le mi'u dinju le ka cpacu le gurni	Rats are attacking the building to get the grain.
gurni	mi vi ku ralte le gurni be le zumri	I keep here maize grain.
guska	mi pu guska le skapi le cidni be mi	I scraped the skin off my knees.
gusni	le fagri pu te gusni le mi'u kevna le xunre	The fire illuminated the cave with red light.
gusta	banli gusta	Nice restaurant.
gusta	bu'u le mi'u xotli da gusta le kukte le vitke be le mi'u xotli	In the hotel there is a restaurant serving tasty food to guests of the hotel.
gutci	le jubme cu clani lo ka gutci li re le ka brito	The table is two British feet in length.
gutra	le gutra be le mamta be mi pu se vimcu	My mother had uterus removed.
i	mi xabju le tcadu i mi se jibri le ka dansu	I live in the city. I have a job of a dancer.
i da ve'e trixe le tsani	ma pu renro cei brodo le rokci i mu'a mi pu na brodo	Who threw the rock? For example, I didn't.
i da ze'e narge le se prami	ti gusta le'e se nelci be mi cei brodu i ku'i le ji'a mamta be mi ta'e zbasu lo cidja poi brodu	This restaurant serves the food that I like. However, my mother as well makes food that I like.
i doi dilnu do e'osai carvi	xu do budjo le ka se tcaci	Are you a Buddhist in your habits?
i le dirba pu klama le darno	la alis pu ca'o ku zgana cei brodi le pixra i mi na brodi	Alice was beholding the pictures. I wasn't.
i le kanla be ra cu pu carmi	do bruna mi le ka se mamta	You are my brother since we are born from the same mother.
i le nicte ca xekri je blanu	la alis mo'u citka cei brode pa plise i je la kevin mo'u brode	Alice has eaten up an apple. And Kevin ate an apple too.
i'a	i'a mi ba denpa	Okay, I will wait.
i'a	i'a mi na certu	Well, I'm not an expert.
i'a	le danfu i'a nai cu ei drata	No, the solution doesn't satisfy me, it should be different.
i'e	i'e do pu gunka le vajni	Very good! You did an important work.
i'e	i'e cu'i do pu ku ca le se tcika mo'u klama	Well, okay, you arrived on time.
i'e	i'e nai do jai lerci	Oy, you are late.
i'i	i'i do badri doi le pendo	You are sad, I know that feeling, bro.
i'i	i'i nai mi zukte le na me do moi	It's your problems, I'm not doing your work.
i'i	i'icai	Big mood.
i'o	i'o do je'a pendo	Ah, you're a true friend.
i'o	i'o nai do ro roi se funca le zabna	Mmm, you are always lucky.
i'u	coi i'u	Greetings, old friend.
i'u	i'u ti noi plise so'i mei cu kukte	Yes, these apples are sweet.
i'u	ti i'u nai xotli	It's some hotel.
ia	ia drani	I believe that's correct.
ia	mi viska pa ponse be ia pa blanu zdani	I see an owner of what I believe to be a blue house.
ia	ia cu'i le mi'u prenu cu catra	Allegedly, he is the murderer.
ia	ia nai le mi'u prenu cu stace mi	I don't believe, he is frank with me.
ie	ie la kevin ka'e pu zvati ti	Yes, Alice could be here.
ie	le danlu cu morsi ie nai	No, I don't agree that the animal is dead.
ii	ii da klama	Eek, there is someone coming!
ii	ii nai le mi'u djacu na ba kuspe mi'o	The water won't reach us.
ije	su'o da zo'u da vi fasnu i je mi na djuno le du'u da mo kau	Something is happening here, and I don't know what it is.
influ'enza	mi bilma fi le influ'enza	I've got the flu.
info	le info be le nu vofli cu vajni mi	The information about flights is important to me.
info	le ka zukte le zekri cu info le mi'u nanmu le ka zgana le se zukte be ce'u	That he is a criminal is the information about the man collected by monitoring his actions.
insekto	mi se cinri le ka tadni le insekto	I am interested in studying insects.
intele	le ka facki le du'u ma kau drani cu intele le panzi be mi	The ability to determine who is right is the sign of high intellect of my child.
io	ko io jersi mi	This way, Sir!
io	ko io nai ti klama	Get your asses over here!
irci	la tom cu irci la'o .net.#lojban.net. la'o gy.freenode.gy	Tom chats in IRC channel #lojban of freenode network.
iu	da'i mi stali iu	I'd love to stay.
iu	do iu nai na pu sidju mi	You didn't help me, hate you!
iu	cakla iu nai	I hate chocolate.
ja	ba'a le mi'u tanxe cu barda ja tilju	I expect the box to be big or heavy (at least one of the two characteristics).
ja'a	mi ja'a jimpe	I do understand.
ja'a	la alis pu ku sinma ja'a gi'e nai sidju vau mi	Alice did respect me but didn't help me.
ja'ai	ui ja'ai	Yay indeed!
ja'ai	mi pu citka se pi'o ja'ai le forca	I ate indeed using a fork.
ja'ai	mi djica na gi'e ja'ai bredi	I don't want but I'm ready.
ja'e	pu lerci i ja'e bo mi pu bilga le ka volta	I was late. Therefore, I had to return.
ja'e	mi pu tatpi i ja'e bo mi co'a sipna	I was so tired that I fell asleep.
ja'o	ja'o do merko	Then, you must be an American.
ja'o	ja'o do na nelci le birje	So, you don't like beer.
jabre	do jabre le nu mi gunka vau le ka ru'i tavla	You slow my work down by your constant talk.
jadni	le tarci cu jadni le mi'u tsani	Stars decorate the sky.
jai	lei ckiku cu jai nandu fai le nu ri se zvafa'i i va'i le nu zvafa'i lei ckiku cu nandu	The keys are hard to find. In other words, to find the keys is difficult.
jai	le'e bangu cu jai nandu i le'e bangu cu jai nandu fai le nu cilre fi ri	Languages are difficult. Languages are difficult in learning things about them.
jai	ko cusku le jai se djica be do	Say what you want.
jai	do ro roi cusku su'o da poi nandu fa le nu jimpe fi ke'a	You always say something hard to understand.
jai	mi jai gau farvi fai pa proga i va'i pa proga gau mi farvi	I develop a program. In other words, with me as the agent a program develops.
jakne	le mi'u jakne ba klama fi le mi'u terdi fe le mi'u lunra	The rocket will go from the Earth to the Moon.
jalge	le mi'u snuti pu se jalge le nu le mi'u nakni pu na jundi	The accident happened because he hadn't been careful.
jalge	le cizra pu jalge	There ensued something strange.
jalna	ta'i ma jukpa le rismi se pi'o nai le jalna	How to cook rice without starch?
jamfu	le jamfu be mi cu lenku	My feet are cold.
jamna	la alis jo'u la meilis pu jamna zu'ai le du'u jdice le du'u ma kau traji le ka melbi vau le me vo'a	Alice and Mei Lee were at war with each other in deciding who was prettier among them.
janbe	mi pu tirna le janbe be le cladu	I heard a loud bell ringing.
janco	le anka cu janco le tuple jo'u le cutne	Ankle is a joint between chest and leg.
janli	bu'u le klaji mi co'i janli le pa pendo be mi	I bumped into a friend of mine in the street.
jansu	mi jansu le gugde pe mi le ka du le prenu poi jdice vau fau le nu casnu le nu lebna le ctile	I represented my country in discussions on getting oil as a person that takes decisions.
janta	ti jatna le grute le kagni pe mi le te vecnu pe le drata gugde	This is a bill for the fruits issued to my company by customers from another country.
jarbu	mi se zdani le jarbu be la london	I live in the suburbs of London.
jarco	fi mi'a fa la alis cu jarco le ka stati	To us Alice appeared to be smart.
jarco	la kevin cu jarco le ka gidva	Kevin acts as a guide.
jarki	le mi'u dargu cu jarki le ka se pagbu ti	The road is narrow here.
jaspu	e'o le jaspu be do	Your passport, please.
jaspu	ti jaspu mi le jecta le ka klama la nipon	This is my passport issued by the state allowing me to go to Japan.
jatna	le mi'u jatna be le kamni pe mi'o cu jinvi ma	What does the commander of our committee think?
jau	e'u mi'o zu'ai penmi de'i li cy jau	Let's meet at 1pm.
jaurdei	mi ba tadni ca le jaurdei	I will work on Wednesday.
javni	mi te javni le ka co'u tavla gi'e co'a jundi	I should stop talking and start listening.
javni	e'u zukte le javni be le ka di'i retsku	I suggest you follow the rule or regularly asking questions.
javni	ma javni le nu pilno	What are the terms of usage?
jbama	le jbama be le djacu cu se pilno mi'a le ka jai gau sisti le nu fagri	Water bombs are used by us to stop fire.
jbari	mi pu citka so'o jbari be le fragari	I ate several strawberries.
jbena	le mi'u speni be mi mo'u se jbena pa tixnu	My wife gave birth to a daughter.
jbera	e'a pei mi jbera le vi penbi do	May I borrow this pen from you?
jbera	mi ba te jbera pa karce do	I will lend you a car.
jbini	la alis cu jbini li re no jo'u li ci no le ka jai nanca	Alice is between 20 and 30 years old.
jbopre	ju'i le jbopre do se zdani ma	Hey, Lojbanist! Where do you live?
jdari	le cilmo mudri cu jdari le ka jelca	Wet wood is resistant to burning.
jdice	mi mo'u jdice le du'u sarcu fa le nu mi'a stali	I decided that we need to stay.
jdice	xu do jdice le ka jai se kufra vau le zdani be do	Have you decided that your home is comfortable?
jdice	mi'a zanru le se jdice be le mi'u kamni	We welcome the decision of the committee.
jdika	le prenu pu jdika le ka gunma vau le ci mei	People decreased in number by three persons.
jdima	ma jdima ti fo do	What is your price for this?
jdima	le rupnu be li ci cu jdima le ka sazri le se kelci karce vau le verba le ponse be le karce	Three dollars is the price of riding a toy car for children set by the owner of the car.
jdini	xu ti du le pe do jdini	Is this your money?
jdini	le jdini be lei merko turni ba se pilno fi le nu sidju le pindi	Money issued by the American government will be used to help the poor.
jduli	le jduli be le vanjba se rai se nelci mi	I like grape jelly best.
je	do pu je ca je ba pendo mi	You were, are and will be my friend.
je'a	do je'a stati doi lei prenu	You are really smart, people.
je'a	lei mi'u grute cu se tasta le je'a rigni	The fruits are indeed disgusting in taste.
je'ai	lu do je'ai nelci le gerku li'u lu to'e li'u	"You like/dislike dogs?" "I hate them."
je'e	lu ki'e do li'u lu je'e do li'u	"Thank you!" "You are welcome!"
je'i	do ba'o je'i pu'o citka	Have you eaten yet or are you only about to eat?
je'u	je'u do stati prenu	Truly, you are a smart person.
je'u	le mi'u purdi je'u nai cu se ponse le za'u cizra prenu	This "garden" (which is in fact not a garden) is owed by some weird people.
je'u	xu do kansa mi'a i je'u nai	Are you with us? No.
jecta	le nu se sazri za'u pa turni cu jecta le vi tutra	Being controlled by more than one government is the political system of this area.
jeftu	mi'o ba volta ti za le jeftu be li re	We'll return here in two weeks.
jegvo	xu do se lijda le jegvo	Do you belong to an Abrahamic religion?
jei	mi pu troci le ka facki le mi'u jei la alis pu zvati la paris	I tried to find out whether Alice had been to Paris.
jei	mi pu facki fi su'o da le mi'u jei da pu zu xabju le mi'u dinju	I found out who had lived in the house long before.
jei	mi pu facki fi su'o da le mi'u pu zu jei da xabju le mi'u dinju	I found out who as seen from a long time ago could be characterized as living in the house at that time.
jei	mi djuno le mi'u jei je ka zvati ti	I know who is here.
jei	mi djuno fi da fe le mi'u jei je ka zvati ti	I know that someone is here and I know who it is.
jelca	le mi'u mudri cu jelca	The wood is burning.
jemna	le nixli pu zvafa'i le rokci noi ba facki le du'u ke'a jemna	A girl found a stone that later was turned out to be a gem.
jenca	pu jenca le fetsi fa le nu vo'a ka'e mo'u klama lo drata gugde	It shocked her that she could get to another country.
jendu	le mi'u jendu be le re xislu cu mudri	The axle of the two wheels is wooden.
jenmi	ti jenmi le vi gugde le ka vimcu be le fagri	This is an army of firefighters of this country.
jenmi	le mi'u re ki'o sonci cu jenmi le mi'u pagbu be le mi'u gugde	The two thousand soldiers is an army of this part of the country.
jerna	do jerna le ka se sinma vau le ka carmi gunka	You are worth being respected for your hard work.
jerna	mi pu jerna le rupnu be li pa no no le ka lumci lei palta	I earned 100 dollars for washing the dishes.
jersi	lei gerku cu jersi pa lorxu	Dogs are in pursuit of a fox.
jersi	e'o do jersi mi	Please, follow me.
jesni	gau mi tunta fa le tamji be mi pa jesni	I pricked my thumb with a needle.
jetce	le nazbi be mi cu te jetce	I have a runny nose.
jetce	le mi'u cmana mo'u te jetce le glare le sutra	The mountain erupted jetting hot matter.
jetnu	pa da poi prije prenu zo'u le du'u le remna cu xendo cu jetnu le se jinvi be da	According to one wise person, it's true that all humans are kind.
jetnu	u'a la'e di'u se jetnu le du'u mi drani	Aha, that proves that I am right.
jgalu	le mi'u cipni cu se jgalu le kinli	The bird has sharp claws.
jganu	ti jganu me'o a bu le mitre be li pi mu gi'e stero be li re	This is an angle from vertex A having the lateral of 0.5 meters and subtending two steradians.
jgari	le mi'u nakni mo'u co'a jgari le stedu be la alis se pi'o le xance be le mi'u nakni	He grasped Alice's head with his hand.
jgena	ti jgena so'i blanu skori jo'u pa xunre skori	This is a knot of many blue ropes and one red rope.
jgina	xo da jgina le remna le ka le skapi be ce'u cu skari ma kau	How many genes in humans determine the color of skin?
jgira	mi jgira le nu do co'a kakne le ka zgipli le pipno	I am proud that you are now able to play the piano.
jgita	xu do kakne le ka zgipli le jgita be lei ze mei	Can you play a 7-stringed guitar?
ji	do djica tu'a le ckafi ji le tcati	Do you want tea or coffee (make a choice)?
ji'a	mi ji'a je'a nelci	I like it too.
ji'a	lo'e xagji cribe cu citka lo'e cinki ku ji'a	A hungry bear will eat even insects.
ji'a	ji'a mi pu citka le'e titla	Additionally, I ate the sweet.
ji'a	mi pu citka le titla ji'a	I ate what is additionally a sweet.
ji'a	mi pu citka le ji'a titla	I eat the sweet among other things.
ji'e	mi tsali ji'e le nu mi ka'e lafti le pipno	I'm strong to the degree that I can lift the piano.
ji'e	la kevin cu ricfu ji'e le nu ri ponse so'i dinju	Kevin is so rich that he owns several houses.
ji'i	ji'i pa no tadni ca zvati le mi'u kumfa	About 10 students are in the room.
jibni	zo xagri zo tabra cu jibni le ka se smuni	The terms "pipe instrument" and "horn" are close in their meanings.
jibri	mi se jibri le ka vecnu le grute	I have a job as a fruit seller.
jibri	xu do se jibri le ka sampla	Do you have the job of a programmer?
jicla	ko jicla le mi'u tcati	Stir the tea.
jicla	ko jicla le mi'u stasu co'u le nu ri febvi	Stir the soup until it boils.
jicmu	le logji cu jicmu la lojban	Logic is the foundation of Lojban.
jicmu	le tcica cu jicmu ro nu jamna	Trickery is the basic of every war.
jicmu	le nu zgana gi'e lanli cu jicmu ro saske	Monitoring and analysis is the foundation of every science.
jijnu	mi pu jijnu le du'u le mi'u fetsi cu smusku le jitfa	I knew intuitively that she was lying.
jikca	ko jikca la'e me'o so pa pa	Dial 911!
jikca	ra jikca le so'i prenu gi'e di'i gasnu le te salci	He is a sociable person interacting with many people and regularly organizing parties.
jikni	le nu frili vecnu cu jikni le vi tutra	Free market is the economy of this region.
jikru	mi pu pinxe le jikru be le mraji	I drank an alcoholic drink distilled from rye.
jilka	mi pu lumci le palta se pi'o le jilka be le sodna	I washed dishes using soda.
jilra	mi pu jilra le bruna be mi le se frili poi tai ke'a tavla fa ce'u bau la lojban	I envied the ease at which my brother talked in Lojban.
jimca	le jimca be le za'u vi tricu cu snime blabi	Branches of these trees are snow white.
jimdei	ca le jimdei mi ba cadzu bu'u le panka	On Friday, I will walk in a park.
jimpe	mi na jimpe tu'a do	I don't understand you.
jimpe	mi na jimpe le du'u ma kau smuni le se cusku be do	I don't understand the meaning of what you said.
jimte	ti noi mokca cu jimte mi le ka mo'u se klama	This point is the limit that I can reach.
jinci	ti jinci le pelji	These are scissors for cutting paper.
jinga	la alis pu jinga le ralju le drata nixli pa nu vi'i ve'u bajra	Alice won the main prize gaining the victory over other girls in a long distant race.
jinku	ti jinku le remna tu'a le vidru le ka se setca fi le ciblu	This a vaccine for human use, it protects against viruses and is to be injected into the blood.
jinme	ti noi grana cu jinme	This rod is metallic.
jinme	le slami cu daspo le jinme	Acid destroys metal.
jinru	le mi'u ba'o tricu pu jinru le djacu	The stump was immersed in the water.
jinsa	mi pu jai gau jinsa fai le mi'u jubme lei palta	I cleared the table of dishes.
jinto	ti jinto le jinsa djacu	This is a spring of clean water.
jinvi	mi pu darsi le ka tugni ra pa se jinvi be ra	I dared to support his opinion.
jinvi	mi jinvi fi la .alis. goi .abu. fe le du'u ri na gasnu le zekri kei fo le du'u no da skicu fi ma'a fe le nu .abu. vi zvati	I think Alice didn't commit the crime on grounds that no one told us of her being nearby.
jinvi	le pendo be mi cu jinvi le du'u le tcini cu zenba le ka xlali	My friend thinks that the situation is deteriorating.
