tcexo	rusko
Ale když už jsme u toho křehkého puku, tedy nikdo neví, jak to přijde, ale stává se to nápadně často: když šlápnete do záhonku, abyste na něm sebrali uschlou větvičku nebo vypleli neřáda pampelišku, šlápnete obyčejně na podzemní puk lilie nebo upolínu; tak vám to křupne pod nohou, a vy ustrnete hrůzou a hanbou; v tu chvíli se považujete za netvora, pod jehož kopyty tráva neroste. Nebo s nekonečnou opatrností kypříte v záhonku půdu se zaručeným výsledkem, že rozseknete motyčkou rašící cibulku nebo hladce uříznete rýčem klíčky anemon; když zděšeni couvnete, rozdrtíte svou tlapou kvetoucí primulku nebo ulomíte mladý chvost delfinia. S čím úzkostlivější opatrností pracujete, tím víc natropíte škody; teprve léta praxe vás naučí mystické a surové jistotě pravého zahradníka, který šlápne, kam bůh dá, a přece nic nezašlápne; a když už, tedy si z toho aspoň nic nedělá. Tedy to jen tak mimochodem.	Но раз уж мы заговорили об этом хрупком бутоне, то вот что: никто не знает, как это выходит, но случается подозрительно часто - стоит вам ступить на грядку, чтобы поднять с нее сухую веточку или выполоть негодяйку-одуванчик, как вы обычно наступаете на подземную почку лилии или купальницы; она хрустит под ногой, и вы замираете от ужаса и стыда; в эту минуту вы считаете себя чудовищем, под копытами которого трава не растет. Или вы с бесконечной осторожностью рыхлите землю на клумбе, неизменно добиваясь того, что мотыгой рассекаете прорастающую луковицу или гладко срезаете лопатой ростки анемонов; а когда в ужасе отступаете, то своей лапой раздавливаете цветущую примулу или обламываете молодой хвост дельфиниума. Чем тревожнее и осторожнее вы работаете, тем больше вреда причиняете; только годы практики научат вас мистической и грубой уверенности настоящего садовника, который ступает куда бог пошлет - и все же ничего не топчет; а если и топчет, то, по крайней мере, не принимает этого близко к сердцу. Впрочем, это так, между прочим.
	
Duben je kromě rašení také měsíc vysazování. S nadšením, ano s divokým nadšením a nedočkavostí jste objednali u zahradníků sazenice, bez kterých byste nemohli být dále živi; slíbili jste všem přátelům zahrádkářům, že si k nim přijdete pro odnože; nikdy, pravím, nemáte dost na tom, co už máte. A tak se vám jednoho dne sejde doma nějakých sto sedmdesát sazenic, které chtějí do půdy; v tom okamžiku se rozhlédnete po své zahrádce a shledáte se zdrcující jistotou, že to nemáte kam dát.	Апрель - кроме того, что месяц распускания, еще и месяц высадки. С восторгом, да, с диким восторгом и нетерпением вы заказали у садовников рассаду, без которой не можете больше жить; всем друзьям-садоводам вы пообещали, что зайдете к ним за отводками; никогда, говорю вам, человеку не хватает того, что у него уже есть. И вот в один прекрасный день у вас дома скапливается каких-нибудь сто семьдесят саженцев, которым нужно в землю; и в этот миг вы оглядываете свой садик и с убийственной ясностью понимаете, что сажать вам их некуда.
	
Tedy zahradník v dubnu je člověk, který s vadnoucí sazeničkou v ruce dvacetkrát obíhá svou zahrádku, hledaje píď půdy, na které ještě nic neroste. „Ne, sem to nejde,“ bručí tiše, „tady mám ty zatracené chryzantémy; tady by mně to udusil flox, a tuhle je smolnička, čert ji vem. Hm, tady se mně rozlezl zvonek, a tuhle u toho řebříčku také není místo – kampak já to dám? Počkejme, semhle, – ne, tady už je oměj; nebo sem – ale tady je mochna. Tady by to šlo, ale je tu plno tradeskancie; a tuhle – copak to tu vyráží? To bych rád věděl. Aha, tady je drobátko místa; počkej, sazeničko, hned ti ustelu. Tak vidíš, a teď si spánembohem rosť.“	И вот садовник в апреле - это человек, который с вянущим саженцем в руке двадцать раз обегает свой садик, ища пядь земли, где еще ничего не растет. "Нет, сюда не пойдет, - тихо бормочет он, - тут у меня эти проклятые хризантемы; тут мне его задушит флокс, а здесь смолка, черт бы ее побрал. Гм, тут у меня разросся колокольчик, а возле тысячелистника тоже нет места... куда же мне это деть? Погоди-ка, вот сюда... нет, тут уже аконит; или сюда... да тут лапчатка. Здесь было бы можно, но тут полно традесканции; а тут... это что тут лезет? Хотел бы я знать. Ага, вот здесь чуть-чуть места; подожди, саженец, сейчас я тебе постелю. Ну вот, а теперь расти себе с богом".
Ano, ale za dva dny zahradník shledá, že ji vsadil rovnou do nachově vyrážející pupalky.	Да, только через два дня садовник обнаружит, что посадил его прямо в пурпурно вылезающую энотеру.
	
Člověk zahradník vznikl zajisté kulturou, a nikoliv přírodním vývojem. Kdyby vznikl od přírody, vypadal by jinak; měl by nohy jako brouk, aby nemusel sedět na bobku, a měl by křídla, jednak pro tu krásu a za druhé proto, aby se mohl vznášet nad svými rabátky. Kdo to nezkusil, nemá ponětí, jak nohy člověku překážejí, nemá-li se nač postavit; jak jsou zbytečně dlouhé, je-li nutno je složit pod sebou a dloubat prstem v půdě; jak jsou nemožně krátké, má-li člověk dosáhnout na druhý kraj záhonu, aniž přitom šlápnul na polštář pyrethra nebo rašící orlíček. Nebo takhle být zavěšen na popruhu a houpat se nad svými kulturami, nebo aspoň mít čtyři ruce a na nich hlavu s čepicí a víc už nic; nebo mít údy vysunovací jako fotografický stativ. Ale jelikož je zahradník zevně uzpůsoben stejně nedokonale jako vy ostatní, nezbývá mu, než aby ukázal, co umí: aby balancoval na špičce jedné nohy, aby se vznášel jako carská baletka, aby se rozkročil na čtyři metry šířky, aby našlapoval lehce jako motýl či konipásek, aby se vešel na čtvereční coul půdy, aby se udržel v rovnováze proti všem zákonům o nakloněných tělesech, aby všude dosáhl a všemu se vyhnul a ještě se přitom pokoušel zachovávat jistou důstojnost, aby se mu lidé nesmáli.	Человек-садовник, несомненно, возник культурой, а не природным развитием. Если бы он возник естественным путем, он выглядел бы иначе; у него были бы ноги, как у жука, чтобы не приходилось сидеть на корточках, и были бы крылья - во-первых, для красоты, а во-вторых, затем, чтобы он мог парить над своими клумбами. Тот, кто этого не испытал, не имеет понятия, как человеку мешают ноги, когда ему не на что встать; как они бессмысленно длинны, если их надо поджимать под себя и ковырять пальцем в земле; как они невозможным образом коротки, если нужно дотянуться до другого края грядки, не наступив при этом на подушку пиретрума или на прорастающую аквилегию. Или вот если бы висеть на ремне и покачиваться над своими культурами, или хотя бы иметь четыре руки, а на них голову в шапке - и больше ничего; или иметь выдвижные конечности, как фотографический штатив. Но поскольку садовник внешне устроен столь же несовершенно, как и вы прочие, ему остается только показать, на что он способен: балансировать на носке одной ноги, парить, как царская балерина, раздвигаться на четыре метра в ширину, ступать легко, как бабочка или трясогузка, умещаться на квадратном дюйме земли, удерживать равновесие вопреки всем законам о наклонных телах, всюду доставать и всего избегать и при этом еще стараться сохранять некоторое достоинство, чтобы люди над ним не смеялись.
Ovšem při zběžném pohledu zdálky nevidíte ze zahradníka nic než zadek; vše ostatní, jako hlava, ruce a nohy, je prostě pod ním.	Конечно, при беглом взгляде издалека вы не увидите у садовника ничего, кроме зада; все остальное - голова, руки и ноги - просто находится под ним.
	
Děkuju za optání, už toho bude hromada: narcisy, hyacinty i tacety; viola cornuta a pupkovec, lomikámen, draba i arabis i hutchinsia a petrklíče a jarní vřes, a co toho rozkvete zítra nebo pozítří, to budete koukat.	Спасибо, что спросили, уже скоро тут будет целая россыпь: нарциссы, гиацинты и тацетты; viola cornuta и пупочник, камнеломка, draba, arabis, hutchinsia, примулы, весенний вереск, а что зацветет завтра или послезавтра - вот увидите.
	
To se rozumí, koukat dovede každý. „Jej, to je pěkná lila kytička,“ řekne takový laik, načež mu zahradník trochu uraženě řekne: „To přece je Petrocallis pyrenaica.“ Neboť zahradník si potrpí na jména; květina beze jména je, abych to řekl platonsky, květina bez metafyzické ideje; zkrátka nemá tu pravou a plnocennou skutečnost. Květina bezejmenná je plevel; květina s latinským jménem je jaksi povýšena do stavu odbornosti. Vyroste-li vám na záhonku kopřiva, zapíchněte k ní jmenovku „Urtica dioica“, a počnete si jí vážit; ba i půdu jí zkypříte a přihnojíte ji čilským ledkem. Mluvíte-li se zahradníkem, zeptejte se ho vždycky: „Jak se jmenuje tahle růže?“	Само собой, смотреть умеет каждый. "Ах, какой славный лиловый цветочек", - скажет такой профан, на что садовник слегка обиженно ответит: "Это же Petrocallis pyrenaica". Ибо садовник дорожит названиями; цветок без имени - если выразиться по-платоновски - цветок без метафизической идеи; словом, у него нет подлинной и полноценной реальности. Безымянный цветок - это сорняк; цветок с латинским именем как бы возведен в ранг учености. Если у вас на клумбе вырастет крапива, воткните рядом ярлычок "Urtica dioica", и вы начнете ее уважать; более того, даже разрыхлите ей землю и удобрите чилийской селитрой. Разговаривая с садовником, всегда спрашивайте у него: "А как называется эта роза?"
	
„To je Burmeester van Tholle,“ řekne vám zahradník potěšen, „a tahle je Madame Claire Mordier,“ a přitom si o vás s uznáním pomyslí, že jste slušný a vzdělaný člověk. A nehazardujte sami se jmény; neříkejte například „Tady vám kvete fajn Arabis“, když na vás může pak zahradník rozlíceně zahřímat: „Kdepak, to přece je Schievereckia Bornmülleri!!“ Ono to je sice skoro jedno, ale jméno je jméno; a my zahradníci držíme na dobré jméno. Proto také nenávidíme děti a kosy, protože nám vytahují a popletou zapíchané jmenovky; pak se nám stane, že ukazujeme s podivem: „Koukejte, tady ten čilimník kvete docela jako protěž, – to je snad taková lokální variace; a je to určitě čilimník, protože je u něho má vlastní jmenovka.“	Это Burmeester van Tholle, - скажет вам садовник с удовольствием, - а вот эта Madame Claire Mordier, - и при этом с уважением подумает о вас, что вы человек приличный и образованный. И сами не рискуйте с названиями; не говорите, например: "Вот у вас тут цветет славный Arabis", - потому что садовник может разгневанно загреметь: "Да какой там Arabis, это же Schivereckia Bornmülleri!!" Вообще-то почти все равно, но имя есть имя; а мы, садовники, держимся за доброе имя. Поэтому мы и ненавидим детей и дроздов: они вытаскивают и путают воткнутые ярлычки; тогда случается, что мы с изумлением показываем: "Посмотрите, эта настурция цветет совсем как эдельвейс, должно быть, это какая-то местная вариация; и уж точно настурция, потому что у нее мой собственный ярлычок".
	
## Svátek ##	## Праздник ##
	
… Ale já naschvál nebudu opěvat svátek práce, nýbrž svátek soukromého vlastnictví; a nebude-li zrovna pršet, tu jej jistě budu oslavovat sedě na bobku a říkaje: „Počkej, já ti přisypu drobet rašeliny, a tuhleten výhonek ti uříznu; a ty bys chtěla hlouběji do země, viď?“ A tařička řekne, že by chtěla, a já ji zasadím hlouběji do země. Neboť toto je má půda zkropená potem a krví, a to doslovně; neboť když člověk uřezává větvičku nebo výhonek, musí se skoro vždycky říznout do prstu, jenž je také jenom větvička nebo výhonek. Člověk, který má zahrádku, se neodvolatelně stává soukromým vlastníkem; pak mu na ní neroste růžička, nýbrž jeho růžička; pak nevidí a nekonstatuje, že už kvetou třešně, nýbrž že kvetou jeho třešně. Člověk, který je vlastníkem, nabývá jisté vzájemnosti s bližními, například co se týče počasí; tu říká, že „už by nám nemělo pršet“ nebo že „nám pěkně zamoklo“. Krom toho nabývá jakési neméně silné výlučnosti; shledává, že sousedovy stromky jsou roští a košťata na rozdíl od jeho vlastních stromků; nebo vidí, že tahle kdoule by se dělala lépe na jeho zahradě než na zahradě sousedově, a tak dále. Je tedy pravda, že soukromé vlastnictví vyvolává jisté třídní a kolektivní zájmy, například co se týče počasí; ale je stejně pravda, že probouzí strašně silné pudy sobecké, soukromopodnikatelské a majitelské. Není pochyby, že by člověk šel do boje za svou pravdu, ale ještě ochotněji a divočeji by šel do boje za svou zahrádku. Člověk, který je majitelem několika sáhů půdy a něco na nich pěstuje, se opravdu stává tvorem jaksi konzervativním, neboť je závislý na tisíciletých přírodních zákonech; dělej co dělej, žádná revoluce mu neurychlí dobu klíčení a nedá kvést šeříku před květnem; tu tedy se člověk umoudří a podřídí se zákonům a zvyklostem.	...Но я нарочно не стану воспевать праздник труда, а стану воспевать праздник частной собственности; и если только не будет дождя, я непременно отпраздную его, сидя на корточках и приговаривая: "Погоди, я тебе подсыплю немножко торфа, а этот побег у тебя отрежу; а ты бы хотела поглубже в землю, правда?" И алиссум скажет, что хотела бы, и я посажу ее глубже в землю. Ибо это моя земля, окропленная потом и кровью, и в буквальном смысле; потому что, когда человек режет веточку или побег, он почти всегда порежет себе палец, который ведь тоже всего лишь веточка или побег. Человек, у которого есть садик, неотвратимо становится частным собственником; тогда у него на нем растет не розочка вообще, а его розочка; тогда он видит и утверждает не то, что зацвели вишни, а то, что цветут его вишни. Человек, ставший собственником, обретает известную взаимность с ближними, например в том, что касается погоды; тут он говорит, что "нам бы уже не надо дождя" или что "нам здорово все замочило". Кроме того, он приобретает и не менее сильное чувство исключительности; он замечает, что соседские деревца - это хворост и метелки в отличие от его собственных деревьев; или видит, что вот эта айва лучше росла бы в его саду, чем у соседа, и так далее. Стало быть, правда, что частная собственность вызывает известные классовые и коллективные интересы, например в том, что касается погоды; но столь же верно и то, что она пробуждает ужасно сильные эгоистические, частнособственнические и собственнические инстинкты. Нет сомнения, что человек пойдет в бой за свою правду, но еще охотнее и яростнее пойдет в бой за свой садик. Человек, владеющий несколькими саженями земли и что-то на ней выращивающий, и в самом деле становится существом в некотором роде консервативным, ибо зависит от тысячелетних природных законов; что ни делай, никакая революция не ускорит сроков прорастания и не заставит сирень цвести раньше мая; тут человек умнеет и подчиняется законам и обычаям.
Tobě pak, zvonečku alpský, vyhloubím hlubší lůžko. Práce! I tomuto piplání v prsti můžeš říkat práce, neboť, povídám, namůžeš si přitom hřbet i kolena. Avšak nezáleží na práci, nýbrž na zvonečku; neděláš práci proto, že práce je krásná, nebo že šlechtí, nebo že je zdravá, nýbrž děláš ji proto, aby zvoneček kvetl a lomikámen se rozrůstal v polštář. Kdybys chtěl něco slavit, nemohl bys oslavovat tuto svou práci, nýbrž zvoneček nebo lomikámen, pro které to děláš. A kdybys místo psaní článků a knížek stál u stavu nebo u soustruhu, nedělal bys tu práci proto, že je to práce, nýbrž proto, že budeš za to mít uzené s hrachem, nebo proto, že máš hromadu dětí a že chceš být živ. A proto měl bys dnes oslavovat uzené s hrachem, děti a život, všecko to, co za svou práci kupuješ a za co svou prací platíš. Nebo bys měl oslavovat to, co svou prací uděláš. Cestáři by neměli oslavovat jenom svou práci, nýbrž silnice, které z ní vyrostly; a textiláci by měli v den svátku práce oslavovat hlavně kilometry cvilinku a kanafasu, které vysoukali z mašin. Říká se tomu svátek práce, a nikoli svátek výkonu; a přece člověk by měl být spíše pyšný na to, co vykonal, než na to, že vůbec pracoval.	А тебе, альпийский колокольчик, я вырою ложе поглубже. Работа! И эту возню в земле ты можешь назвать работой, потому что, говорю тебе, тут и спину, и колени изломаешь. Но дело не в работе, а в колокольчике; ты трудишься не потому, что труд прекрасен, или облагораживает, или полезен для здоровья, а потому, что колокольчик должен цвести, а камнеломка - разрастись подушкой. Если уж что-то праздновать, то не эту работу, а колокольчик или камнеломку, ради которых ты ее делаешь. И если бы вместо статей и книжек ты стоял у ткацкого станка или у токарного станка, ты делал бы эту работу не потому, что она работа, а потому, что за нее у тебя будут копчености с горохом или потому, что у тебя куча детей и тебе надо жить. И потому сегодня ты должен был бы праздновать копчености с горохом, детей и жизнь - все то, что ты покупаешь своим трудом и за что платишь трудом. Или следовало бы праздновать то, что ты своим трудом создаешь. Дорожники должны праздновать не только свой труд, но и дороги, выросшие из него; а текстильщики в день праздника труда должны прежде всего славить километры ситца и холста, которые напряли на машинах. Это называется праздником труда, а не праздником результата; а между тем человеку следовало бы гордиться скорее тем, что он сделал, чем тем, что вообще работал.
Ptal jsem se kohosi, kdo navštívil nebožtíka Tolstého, jaké byly boty, které si Tolstoj sám ušil. Prý byly ukrutně špatné. Dělá-li člověk práci, má ji dělat buď proto, že ho to baví, nebo proto, že to dovede, nebo konečně proto, aby se uživil; ale šít si boty ze zásady, pracovat ze zásady a ze ctnosti, znamená dělat práci, která za mnoho nestojí. Čekal bych, že svátek práce bude vrcholit velebením té lidské šikovnosti a všech fortelů, kterými vládnou, kdo dovedou vzít práci za pravý konec. Kdybychom dnes oslavovali čímany a chlapíky všech zemí, dopadl by tento den zvláště vesele; byl by to skutečný svátek, poutní den života, svátek všech správných hochů –	Я спрашивал у одного человека, который посещал покойного Толстого, какие были сапоги, которые Толстой сшил себе сам. Говорят, были ужасные. Если человек делает работу, он должен делать ее либо потому, что она ему нравится, либо потому, что умеет, либо, наконец, потому, что нужно зарабатывать на жизнь; но шить себе сапоги из принципа, работать из принципа и из добродетели - значит делать работу, которая мало чего стоит. Я ожидал бы, что праздник труда достигнет вершины в восхвалении человеческой сноровки и всех тех умений, которыми владеют люди, умеющие браться за дело с правильного конца. Если бы сегодня мы праздновали лихих ребят и мастеров всех стран, этот день вышел бы особенно веселым; это был бы настоящий праздник, ярмарочный день жизни, праздник всех славных парней...
Dobrá, avšak tento svátek práce je den vážný a přísný. Nic si z toho nedělej, maličký kvítku jarního floxu, a rozevři svůj první růžový kalich.	Ладно, однако этот праздник труда - день серьезный и строгий. Не обращай на это внимания, маленький цветочек весеннего флокса, и раскрой свой первый розовый венчик.
	
## Zahradníkův máj ##	## Май садовника ##
	
Hle, pro samé starosti s kypřením a rytím, výsadbou a řezem jsme se dosud nedostali k největší radosti a intimní pýše zahradníkově, k jeho skalce čili alpinu. Alpinum se tomu říká patrně proto, že tento kousek zahrady umožňuje svému pěstiteli provozovat krkolomný alpinismus; chce-li třeba vysadit tuhle mezi ty dva kameny maličkou androsaci, tu se musí jednou nohou lehce postavit tady na ten kámen, který se drobet viklá, a druhou vznosně balancovat ve vzduchu, aby nerozšlápl polštářek erysima či kvetoucí tařičky; musí použít nejsmělejších roznožů, dřepů, zvratů, poloh, postojů, poskoků, výpadů, předklonů, chvatů a cviků, aby mohl sázet, kypřit, dloubat a plet mezi malebně narovnanými a ne zrovna pevně sedícími kameny své skalky.	Вот ведь, среди всех забот о рыхлении и копке, посадках и обрезке мы до сих пор не добрались до величайшей радости и сокровенной гордости садовника - его альпинария, или, как говорится, альпинума. Альпинум, видимо, называется так потому, что этот кусочек сада дает своему хозяину возможность заниматься головоломным альпинизмом; стоит ему, скажем, посадить вот сюда, между этими двумя камнями, крошечную андросаце, как он должен одной ногой легко встать вот на этот камень, который чуть-чуть шатается, а другой величественно балансировать в воздухе, чтобы не раздавить подушечку эринима или цветущей обриеты; ему приходится прибегать к самым смелым выпадам, приседаниям, поворотам, позам, стойкам, подскокам, наклонам, приемам и упражнениям, чтобы сажать, рыхлить, ковырять и полоть среди живописно сложенных, но далеко не прочно сидящих камней своего альпинария.
	
Pěstování skalky se takto zjevuje jako vzrušující a vysoký sport; nadto vám poskytne bezpočtu nadšených překvapení, když třeba v závratné výši jednoho lokte objevíte ve skalce kvetoucí trs běloučké protěže nebo hvozdíku ledovcového nebo jiných, jak se tomu říká, dítek vysokohorské flóry. Ale co vám budu povídat; kdo si nevypiplal ty všelijaké miniaturní zvonečky, lomikameny, silenky, rozrazily, písečnice, draby a iberisy a tařice a plaménky (a dryas a trýzel a netřesky a rozchodníky) a levanduli a mochnu a sasanku a rmen a huseník (a šater a edrajanthus a různé mateřídoušky) (a iris pumila a olympskou třezalku a oranžový jestřábník a devaterník a hořec a rožec a trávničku a linárii) (nezapomínejme ovšem na aster alpinus, plazivý pelyněk, erinus, pryšec, mydlici a erodium a hutchinsii a paronychii a thlaspi a aethionema, aniž ovšem na hledík, kociánek a nesčetné jiné překrásné kvítky, jako je například petrocalis, lithospermum, astragallus a jiné neméně důležité, jako jsou prvosenky, horské fialky a jiné), tedy kdo si nevypěstoval tyto všechny květinky, nepočítaje mnohých jiných (z nichž uvádím aspoň onosma, acaenu, čapí nůsek, bahii a saginu a cherlerii), ten ať nemluví o všech krásách světa; neboť neviděl to nejlíbeznější, co tato drsná země v jakési chvilce rozněžnění (jež trvala jen několik set tisíc let) stvořila. Kdybyste viděli takový polštářek dianthu Musalae, posetý nejrůžovějšími kvítky, jaké kdy –	Так выращивание альпинария предстает как волнующий и высокий спорт; сверх того оно дарит вам бесчисленные восторженные сюрпризы, когда, например, на головокружительной высоте одного локтя вы обнаруживаете цветущий кустик белоснежного эдельвейса или ледниковой гвоздики, или иных, как говорится, чад высокогорной флоры. Но что вам рассказывать; кто не вырастил своими руками все эти миниатюрные колокольчики, камнеломки, смолевки, вероники, песчанки, draba, iberis, обриеты и клематисы (а также dryas, иберийку, молодило и очитки), и лаванду, и лапчатку, и анемону, и пупавку, и резуху (а еще гипсофилу, edrajanthus и всякие тимьяны) (и iris pumila, и олимпийский зверобой, и оранжевый ястребинок, и солнцецвет, и горечавку, и роговик, и армерию, и linaria) (не забудем, разумеется, aster alpinus, ползучую полынь, erinus, молочай, сапонария, erodium, hutchinsia, paronychia, thlaspi и aethionema, а также львиный зев, кошачью лапку и бесчисленные другие прелестнейшие цветочки, как, например, petrocalis, lithospermum, astragalus и прочие не менее важные, вроде примул, горных фиалок и так далее), - словом, кто не выращивал всех этих цветочков, не считая множества других (из которых упомяну хотя бы onosma, aсaena, журавельник, bahia, sagina и cherleria), тот пусть не говорит о всех красотах мира; ибо не видел самого прелестного, что эта суровая земля создала в минуту какого-то умиления (длившуюся всего несколько сот тысяч лет). Если бы вы увидели такую подушечку dianthus Musalae, усеянную самыми розовыми цветочками, какие только...
Ale co vám to budu povídat; jen pěstitelé skalek znají to sektářské uchvácení.	Но что вам рассказывать; это сектантское упоение знают только любители альпинариев.
Ano, neboť pěstitel skalky není jenom zahradník, nýbrž sběratel, což ho zařazuje mezi těžké maniaky. Ukažte mu, že se vám ujala třeba campanula Morettiana; přijde vám ji v noci ukrást, vraždě a stříleje, neboť nemůže být déle bez ní živ; je-li příliš zbabělý nebo příliš tlustý, než aby vám ji ukradl, bude plakat a škemrat, abyste mu od ní dali sebemenší oplégr10. Hle, to máte z toho, že jste se před ním honosili a vypínali se svými poklady.	Да, ибо разводчик альпинария - не только садовник, но еще и коллекционер, а это уже относит его к тяжелым маньякам. Покажите ему, что у вас прижилась, скажем, campanula Morettiana, - он придет ночью украсть ее, убивая и стреляя, ибо без нее больше не может жить; если же он слишком труслив или слишком толст, чтобы украсть ее, он будет плакать и канючить, чтобы вы дали ему от нее хоть крошечный отросток10. Вот вам и результат того, что вы хвастались перед ним своими сокровищами.
	
10 Odnož, řízek. Pozn. red.	10 Отводок, черенок. Прим. ред.
	
Nebo se mu přihodí, že najde v zahradnickém závodě květináček bez jmenovky, z něhož vyráží něco zelenkavého. „A copak to máte tuhle?“ vyhrkne na zahradníka.	Или случается с ним так, что в садовом хозяйстве он находит горшок без ярлычка, из которого вылезает что-то зеленоватое. "А это у вас что такое?" - выпаливает он садовнику.
„Tohle?“ praví zahradník rozpačitě, „to je nějaký zvonek; sám nevím, který by to mohl být –“	Это? - смущенно говорит садовник. - Да какой-то колокольчик; сам не знаю, какой именно...
„Dejte mi ho,“ povídá maniak, předstíraje lhostejnost.	Дайте его мне, - говорит маньяк, изображая равнодушие.
„Ne,“ povídá zahradník, „ten neprodám.“	Нет, - говорит садовник, - этот не продается.
„No, koukejte,“ začne dojemně maniak, „já už od vás beru tak dlouho, řekněte, copak vám to udělá, no ne?“	Ну послушайте, - начинает жалобно маньяк, - я же у вас давно беру, скажите, вам что, жалко, что ли?
	
Po mnoha řečech, opětovně odcházeje a znovu se vraceje k záhadnému a bezejmennému hrnéčku, dávaje zřetelně najevo, že bez něho vůbec neodejde, i kdyby tu měl obcházet devět neděl, tedy využiv veškerých sběratelských kejklů a nátlaků odnáší si konečně pěstitel skalky tajemný zvonek domů, vybere mu nejlepší lůžko ve své skalce, zasadí jej s nekonečnou něžností a denně jej chodí zalévat a rosit s veškerou pozorností, které je tato vzácnost hodna. A zvonek opravdu roste jako z vody.	После множества разговоров, несколько раз уходя и снова возвращаясь к загадочному и безымянному горшочку, всем своим видом показывая, что без него он вообще не уйдет, хоть бы ему пришлось ходить вокруг него девять недель, используя весь коллекционерский арсенал уловок и давления, любитель альпинария наконец уносит таинственный колокольчик домой, выбирает ему лучшее место в своем альпинарии, сажает с бесконечной нежностью и ежедневно ходит его поливать и опрыскивать со всем вниманием, какого заслуживает эта редкость. И колокольчик действительно растет как на дрожжах.
„Koukejte,“ ukazuje jej pyšný majitel svým hostům, „to je zvláštní druh zvonku, že? Ještě nikdo mi jej nemohl určit; to jsem zvědav, jak pokvete.“	Посмотрите, - показывает его гордый хозяин своим гостям, - это ведь особый вид колокольчика, правда? Никто еще не мог мне его определить; вот любопытно, как он зацветет.
	
„To je zvonek?“ povídá host. „Má to listy skoro jako křen.“	Это колокольчик? - говорит гость. - Листья у него прямо как у хрена.
„Kdepak křen,“ namítá majitel. „Křen má přece o mnoho větší listy, a ne tak lesklé. Je to určitě zvonek; ale možná,“ dodává skromně, „že to je species nova.“	Да какой хрен, - возражает хозяин. - У хрена листья ведь куда больше и не такие блестящие. Это наверняка колокольчик; а может быть, - добавляет он скромно, - вообще species nova.
Následkem hojné vláhy roste dotyčný zvonek s rychlostí úžas budící. „Koukejte se,“ káže jeho majitel, „vy jste říkal, že má listy jako křen. Viděl jste už někdy křen s tak obrovskými listy? Panečku, to je nějaká campanula gigantea; ta bude mít květy jako talíře.“	От обильной влаги этот предполагаемый колокольчик растет с поразительной быстротой. "Вот видите, - поучает хозяин, - вы говорили, что листья у него как у хрена. Вы когда-нибудь видели хрен с такими огромными листьями? Да это какая-то campanula gigantea; цветы у нее будут с тарелку".
	
Nuže, nakonec ten jedinečný zvonek počne vyhánět květný stvol, a na něm – lnu je to přece jenom křen; čertví jak se dostal zahradníkovi do toho květináčku!	Ну и в конце концов этот единственный в своем роде колокольчик начинает выгонять цветонос, а на нем... ну конечно же, это всего-навсего хрен; черт знает как он попал садовнику в этот горшочек!
„Poslouchejte,“ povídá host po nějaké době, „kdepak máte ten obrovský zvonek? Ještě nekvete?“	Послушайте, - говорит гость спустя некоторое время, - а где же ваш огромный колокольчик? Еще не цветет?
„Kdepak, ten mi zašel. To víte, tyhle choulostivé a vzácné druhy – Byla to asi nějaká hybrida.“	Да нет, он у меня пропал. Знаете, такие уж эти нежные и редкие виды... Наверное, это был какой-то гибрид.
	
On je to vůbec kříž s opatřováním květin. V březnu vám zahradník vaši objednávku obyčejně nevyřídí, protože třeba mrzne a kultury ještě nejsou venku; v dubnu vám ji rovněž nevyřídí, protože má těch objednávek příliš mnoho; a v máji ji nevyřídí proto, že už má většinou vyprodáno. „Petrklíče už nejsou; ale chcete-li, dám vám místo nich diviznu, ta taky kvete žlutě.“	Вообще с добыванием цветов одна сплошная мука. В марте садовник обычно не выполняет ваш заказ, потому что еще мороз и культуры не вынесены наружу; в апреле он его тоже не выполняет, потому что заказов слишком много; а в мае не выполняет потому, что уже почти все распродано. "Примул уже нет; но если хотите, дам вам вместо них коровяк, он тоже цветет желтым".
	
Ale někdy se přece jenom stane, že vám pošta donese koš s objednanými kulturami, sláva! Zrovna tadyhle do rabátka potřebuju něco hodně vysokého mezi oměje a ostronožky; dáme tam dictamnus, zajisté, zvaný též třemdava čili hořící keř; sazenička, kterou poslali, je sic nějaká droboučká, ale ono to poroste jako z vody.	Но иногда все-таки бывает, что почта приносит вам корзину с заказанными растениями, ура! Вот сюда, на эту клумбу, мне нужно что-нибудь очень высокое между аконитами и дельфиниумами; посадим сюда dictamnus, он же ясенец, он же неопалимая купина; саженец, который прислали, правда, какой-то крохотный, но ведь он пойдет как на дрожжах.
Uplyne měsíc, a sazenička nějak nechce vyrůst; vypadá to jako nizoučká tráva – kdyby to nebyl dictamnus, řekl bys, že to je dianthus. Musíme to notně zalévat, aby to rostlo; a vida, květy to má jakési růžové –	Проходит месяц, а саженец что-то не хочет расти; выглядит он как низенькая травка... если бы это не был dictamnus, можно было бы подумать, что это dianthus. Надо его хорошенько поливать, чтобы рос; и глядите-ка, цветки у него какие-то розовые...
„Koukejte se,“ ukazuje zahrádkář zkušenému hosti, „to je nizoučký dictamnus, že?“	Посмотрите-ка, - показывает садовод опытному гостю, - это ведь низенький dictamnus, правда?
„Chcete říci dianthus,“ opravuje host.	Вы хотите сказать dianthus, - поправляет гость.
