English	Lojban
Tom wanted to talk to you.	la tom pu djica le nu ri tavla do
Tom went to buy dog food.	la .tom. pu klama te zu'e le nu ri te posyve'u lo cidja be lo gerku
Tom broke into our conversation.	la .tom. pu gasnu le zunti be le nu mi'ai casnu
Jiro wants to drink Coke.	la'oi Jiro djica le nu ri pinxe la'oi Coke
What is the racoon doing in the kitchen?	.i le arxokuna ca'o mo ne'i le kumfa pe le nu jukpa
The pond is very deep.	le cmala'u cu mutce lo ka condi
Where's the book I need?	.i le cukta be'u ca zvati ma
The house was big.	.i le dinju pu barda
Your house is big.	.i le dinju pe do barda
She'll return very soon.	.i ra voi ninmu cu ba zi di'a zvati
She's a bad liar.	le ninmu na certu lo ka xusra lo jitfa poi simlu lo ka jetnu
She is not wrong.	le ninmu na na'e drani
She's never in a hurry.	le ninmu no roi se urja
She ate one apple.	le ninmu pu citka pa le plise
She became happy.	le ninmu pu co'a gleki
She wore glasses.	le ninmu pu ta'e dasni loi lenjo
She baked bread.	le ninmu pu jukpa le nanba
The dog ate my shoe.	le pa gerku pu mo'u citka le pa cutci ku ne mi
The light is green.	le gusni cu crino
The result won't really be good.	lei jalge na ku ba ku zabna
He has small feet.	ra se jamfu za'u cmalu
The 'man' that you saw is actually a woman.	le ju'acu'i nanmu poi do pu viska ke'a cu ninmu sa'e 
The table in that room is very nice.	le jubme pe ne'i le va kumfa cu mutce lo ka pluka
This car is his.	le karce cu se ponse le nanmu
Where are the car keys?	lei ckiku be tu'a le karce ma zvati
John's hand is clean.	le pa xance ba la djan cu jinsa
Where is the metro St. Michel?	le renytcana be me'e lu sen micel cu zvati ma
The old man has enough money.	le laldo nanmu cu ponse le rupnu be li rau
The soldiers are dead.	.i le za'u sonci ca morsi
Her daughter is very pretty.	.i le tixnu be le bi'u nai fetsi cu mutce melbi
The metro is on the right!	.i le metro cu pritu
They're joking.	.i le za'u da ca ca'o ca'a xalbo
They're young and healthy.	.i le za'u da ca ku citno gi'e kanro
What do they want?	.i lei za'u da ca djica ma
They're hard to find.	.i le za'u da cu jai nandu fai le ka se zvafa'i
They drink a lot.	.i fe so'i de fa le za'u da pinxe 
They are here.	.i le za'u da ti zvati
They became nervous.	.i le za'u da pu co'a xanka
Two is the only prime whose successor is prime.	li re se steci lo ka namcrprimu gi'e lamli'e su'o namcrprimu
My name is strange.	le cmene be mi cu cizra
The tiles that fell from the roof broke into very small pieces.	.i lei tapla poi farlu fi le drudi pu co'a porpi loi so'i ve'i spisa
He broke his leg skiing.	.i le nanmu pu jai gau spofu fai lo tuple be le nei ze'a lo nu le nei cu skiji sakli
Crows are black.	lo'e korvo cu xekri
A crocodile has eaten Tom.	pa krokodilo pu citka pa gerku
The ground was cold.	le loldi pu lenku
My mother is angry.	le mamta be mi ca fengu
My sister is famous.	le mensi be mi cu misno
My brother is rich.	le bruna be mi cu ricfu
My knife is sharp.	le dakfu pe mi kinli
Human beings are different from animals in that they can think and speak.	lo'e remna cu frica lo'e danlu lo ka kakne lo ka pensi gi'e tavla
The e-mail from Alice, who must be you, got read.	.i le pu za se mrilu be la alis. noi ju'o du do pu se tcidu
The sky was so starry, so bright that, looking at it, one could not help asking oneself whether ill-humoured and capricious people could live under such a sky.	i puki le tsani cu ckaji lo ka so'i da tarci bu'u ce'u noi carmi i tai bo lo'e prenu fau le nu ri catlu le tsani vau na ku ka'e ku na ku co'a retsku fi le nei fe le se du'u xu kau lo'e prenu poi gasnu lo fanza e lo se kanpe be fi li so'u cu ka'e xabju lo cnita be le tai tsani
Your mamma's so fat, she'd break London Bridge.	i le mamta be do cu tai plana i da'i se ri'a bo ri jai gau spofau fai le cripu pe la .london.
What is his name?	.i ma cmene le bi'u nai nakni
What's his name?	.i ma cmene le bi'u nai nakni
What's your daughter's name?	ma cmene le tixnu be do
Who's laughing?	.i ma ca'o cmila
Which book is yours?	ma me le cukta gi'e se ponse do
Which is your book?	ma se ponse be do cukta
Who said that?	.i ma pu cusku
Who told you this?	.i ma pu cusku fi do
May I have your name?	e'o do cusku le cmene be do
What sports do you like?	ma esporte gi'e se nelci do
What's the real reason you don't want to do this?	.i ma jetnu krinu le nu do na djica le nu do zukte ra
Who's been talking to Tom?	.i ma pu ca'o tavla la tom.
Who's Emily?	.i la .emilin. cu mo
What fell on me?	.i ma pu farlu mi
Where am I?	.i fe ma fa mi ca zvati 
What do you want to buy?	ma poi'i do djica le nu do te vecnu ke'a
What's behind the wall?	.i ma trixe le bitmu
I'm not sure I want to see this.	mi na birti le du'u mi djica le nu mi viska ti
I am reading a book.	.i mi ca ca'o tcidu fi pa cukta
I'm making changes.	.i mi ca'o jai gau cenba
I'm working on it.	.i mi ca'o gunka fi le co'e
I am jumping of joy.	.i se ja'e le nu mi gleki vau mi ca'o plipe
I'm scared.	.i mi ca terpa
I'll just go for a walk to clear my head.	.i mi .ai cadzu bu'u lo bartu mu'i le nu .au mi se menli su'o zabna
I'm the killer.	.i mi du le catra
I just arrived now.	.i mi pu zi mo'u klama
I love you and vice versa.	.i mi ce do simxu le ka prami
We love each other.	.i mi ce do prami zu'ai
I like you more than you like me.	.i le ni mi nelci do cu dubmau le ni do nelci mi
I feel happy.	.i mi cnimo le ka gleki
I write a letter.	.i mi ciska pa ve xatra
I want to run.	.au mi bajra
I want to change.	.au mi cenba
I want to learn toki pona.	.au mi cilre fi lo tokpona
I wish to leave.	.au mi cliva
I want to go faster.	.au mi co'i zenba lo ka sutra lo ka cadzu
I want there to be something to sing.	mi djica lo nu su'o da zo'u mi sanga da
I want to want what you want.	.au mi djica le se djica be do
I want to know all about you.	.au mi djuno ro da do
I didn't want to give Tom any money.	mi pu na djica le nu mi dunda fi la tom fe tu'a su'o jdini
I want to change that.	.ai mi gasnu le galfi be la'e do'i
I want to show you a spectacular view.	.au mi sidju do lo ka zgana lo se jvinu be lo banli
I want to learn how to swim.	ai mi zukte fi lo nu mi ka'e limna
I wanted to cry.	mi pu cinmo lo ka pu'o klaku
I want to go home.	.au mi klama le zdani
I want to go to a hotel.	.au mi klama lo xotli
I want to travel with you.	.au mi kansa do lo ka litru
I want to be like her.	.au mi simsa ra noi fetsi
I want to be like him.	.au mi simsa ra noi nakni
I want to study Hebrew.	.au mi tadni le xebro
I want something to read.	.au mi tcidu su'o da
I want to buy a pineapple.	.au mi te vecnu lo pa bromeli
I want to be a pilot when I grow up.	.au mi se cuntu lo ka sazri lo vinji fau le nu mi makcu
I want to see a volcano.	.au mi viska lo vulkano
I want to see her very much.	mi mutce lo ka djica lo nu mi viska ra
I don't want to do anything.	.au mi surla
I'd like to sit with my family.	.au mi zutse ne'a le lanzu be mi
I don't want to.	mi na djica
I don't want your opinion.	mi na se cinri tu'a lo se jinvi be do
I don't want to talk about my child.	.i au nai mi tavla le pa panzi be mi
I don't want you to think about it anymore.	i au nai bu'o do ca'o pensi ra
I really like seafood.	.i mi je'a nelci le'e cidja pe lo xamsi
I truly doubt it.	.i mi stace be fi le ju'a mi senpi
I'm holding a book.	.i mi ca ca'o jgari pa cukta
I'm 17, too.	.i mi ji'a renvi fi le nanca be li pa ze
I can't do it either.	.i mi ji'a na ka'e zukte la'e do'i
I too like apples.	.i mi ji'a nelci lo'e plise
I can't speak French at all.	mi mulno lo ka ce'u na'e kakne lo ka tavla fo lo fraso
I want to see her very much.	mi mutce djica le nu mi viska ra
I don't want to go anywhere.	mi na djica le nu mi klama su'o da
I don't want to be late.	mi jai lerci aunai
I'm not you.	mi na simsa do
I'm not a student.	mi na se cuntu lo ka tadni
I'm not a doctor.	mi na se cuntu lo ka mikce
I don't like chocolate.	cakla .iu ru'e nai
I don't like sand.	mi na nelci lo'e canre
I don't like coffee.	mi na nelci lo'e ckafi
I don't like winter.	mi na nelci lo'e dunra
I don't like to paint.	mi na se dirba lo ka punji lo cinta
I don't like high heat.	mi na nelci lo'e nu mutce glare
I don't like tea.	mi na nelci lo'e tcati
I don't like this book.	mi na nelci ti voi cukta
I don't like this jacket.	mi na nelci ti voi kosta
I don't like her.	mi na nelci le ninmu
I don't love her.	mi na prami ra
I haven't told Tom.	mi nu'o cusku fi la .tom.
I didn't know that you cared.	mi pu  na ku djuno le du'u vajni do
I didn't know Tom had a dog.	mi pu na ku djuno le du'u la tom pa gerku cu ralte
I didn't know Tom had a brother.	mi pu na ku djuno le du'u la tom da bruna
I did not know this.	mi pu na ku djuno fi la'e do'i
I didn't really want to win.	mi na pu je'a djica le nu mi jinga
I wasn't alone.	mi pu na ku kansa no da
I wasn't sold on their plan at first, but their conviction won me over.	puku ca le pamoi mi na ku birti tu'a le se platu be le za'u mei i ku'i le ni ri krici cu jai rinka lo nu mi co'a birti
I couldn't sleep because of the heat.	pu ku ki'u le nu glare vau mi fliba le ka sipna
I'm not a robot.	mi na gasnu lo zmiku
I need water.	.i mi nitcu tu'a lo'e djacu
I need to travel.	.i mi nitcu le nu mi litru
I've got to speak to you.	.i mi nitcu le nu mi tavla do
I've got to speak to her.	.i mi nitcu le nu mi tavla ra voi fetsi
I've got to speak to him.	.i mi nitcu le nu mi tavla ra voi nakni
I've got to speak to Tom.	.i mi nitcu le nu mi tavla la tom.
I need some sugar.	.i mi nitcu tu'a su'o sakta
I need a dictionary.	.i mi nitcu tu'a su'o vlaste
I would never be your husband.	.i mi cu da'i no roi nakni speni do
I would never be your wife.	.i mi cu da'i no roi fetsi speni do
I never read that book.	.i mi no roi tcidu fi le bi'unai cukta
I never lie.	.i mi no roi xusra lo jitfa
I don't really remember.	.i mi cu je'u na morji
I'm alone.	.i mi kansa no da
I'm lonely.	.i mi cnimo fi le nu mi kansa no da
I have no wish to see the man again.	mi nova'e lo ka djica le nu mi viska le nanmu za'ure'u
It is her that I want to meet.	.i ra voi fetsi cu ckaji le ka mi ca djica le nu mi penmi ce'u
I would like to buy myself a new computer; show me the best model.	.i au mi te vecnu pa cnino skami se va'u mi i gau ko mi zgana le traji be le ka zabna
I wanted to see you, too.	.i mi ji'a pu djica le nu mi viska do
I don't follow.	.i mi na jimpe
I'm not dead.	.i mi na morsi
I drink coffee.	.i mi pinxe loi ckafi
I'm so fat.	.i mi mutce plana
I own this car.	.i mi ponse le me ti karce
This is my car.	.i le me ti karce cu se ponse mi
I have no money at all.	.i mi ponse no sa'e jdini
I wanted to kill Tom.	mi pu djica le nu gau mi morsi fa la tom
I wanted to warn you.	mi pu zukte fi lo nu gau mi kajde do
I wanted to warn Tom.	mi pu zukte fi lo nu gau mi kajde la tom
I wanted to hurt Tom.	mi pu zukte fi lo nu gau mi xrani la tom
I wanted to go to Paris.	mi pu djica le nu mi klama la paris
I wanted to remember.	mi pu djica le nu mi morji
I wanted to save Tom.	mi pu zukte fi lo nu gau mi la tom co'a snura
I wanted to meet you.	mi pu djica le nu mi penmi do
I wanted to love Tom.	mi pu djica le nu mi prami la tom
I wanted to help you.	mi pu djica le nu mi sidju do
I wanted to stop Tom.	mi pu zukte fi lo nu sisti fa la tom
I wanted to talk with you.	mi pu djica le nu mi tavla do
I wanted to speak with you about this.	mi pu djica le nu mi tavla do la'e do'i
I wanted to buy the book.	mi pu djica le nu mi te vecnu le cukta
I wanted to be there.	mi pu djica le nu mi zvati ra
I thought you didn't want to come.	i mi pu jinvi le du'u do na djica le nu do klama
I live in Milan.	.i mi xabju la .miLAN.
I am tired and I want to go to bed.	mi tatpi gi'e nitcu le nu mi sipna
I hate children.	.i mi xebni lo'e verba
I am a Christian girl.	.i mi xriso nixli
I am a Christian woman.	.i mi xriso ninmu
I haven't made a decision yet.	.i mi za'o na ku jdice
Do I exist?	.i xu mi zasti
I'm staying home.	.i mi stali le zdani
I've always hated this place.	mi pu na'o xebni le bu'u stuzi
I play a little guitar.	.i mi ca ku zgipli pa cmalu jgita
I play piano.	.i mi zgipli le pipno
I'm free today.	.i mi zifre ca lo cabdei
We banished him from the country.	.i mi'a pu jai gau cliva fai ra le te gugde
We are the Borg.	.i mi'a me la borg.
We talked.	.i mi'a pu simxu le ka tavla
We are the Borg.	mi'a du lai borg
We want to know.	mi'a djica le nu mi'a djuno
We want to talk.	mi'a djica le nu mi'a tavla
We managed to swim across the river.	mi'ai pu snada lo ka limna mo'i pa'o le rirxe
We live here.	mi'ai xabju ti
This is Tom calling.	mi'e la .tom.
Who am I?	mi du ma
It's me.	mi'e mi
I'm not Tom.	mi'e nai .tom.
I'm Susan Greene.	mi'e .suzyn.grin.
My name is Tom.	mi'e .tom.
This is Tom calling.	mi'e .tom.
This is Tom.	mi'e .tom.
My name is Jack.	mi'e .djak.
We'll win.	mi'ai ba jinga
We'll dance.	mi'ai ba dansu
We'll wait.	mi'a ba denpa
We go to the market.	mi'ai klama le zarci
Let's finish the job.	ko'oi mi'ai mo'u gunka
Where are we going to go?	mi'ai zukte fi lo nu mi'a klama ma
Where are we now?	mi'ai ca zvati ma
We need something to eat.	mi'ai nitcu lo nu mi'ai citka da
We lack nothing.	mi'a no da claxu
Are we friends?	xu mi'ai simxu lo ka pendo
We'll survive.	mi'o na ba co'u renvi
We try.	mi'ai troci
We are here.	mi'ai zvati ti
We are in the forest.	mi'ai zvati le ricfoi
Where are we?	mi'ai zvati ma
What species of elk is it?	ti mirli ma
What's up?	do ca mo
It's very hot today.	mutce glare ca le cabdei
Yesterday was hot.	mutce glare ca le prulamdei
This'll be different.	ba drata
He likes this book.	ra nelci le se cukta be ti
No one will know.	.i no da ba djuno
Nobody will know.	.i no da ba djuno
There are no clocks in my room.	.i ne'i le mi kumfa no da junla
Nobody came.	.i no prenu pu klama
Nobody needs me.	.i no prenu mi nitcu
Nobody tells me anything.	.i no da skicu su'o de mi
No one succeeds in the world without effort.	no da snada bu'u le munje se ja'e le nu le nei na troci
There's nothing here.	.i no da zvati ti
There is no greatest positive integer.	.i no da dubmau ro nonmau mulna'u
He's kicking me!	.i oi ra ca ca'o tikpa mi
The teacher and the pupils are in the museum.	.i le pa ctuca .e le za'u tadni ca zvati le muzga
He had one daughter.	.i ra pu ku se tixnu pa da
Someone among them wants to hug you.	le cmima be ra cu djica le nu ri pamjai do
It's not fair.	.i na vrude
It's a cruel world.	.i bu'u palci munje
He can speak ten languages.	pano da zo'u ra kakne lo ka tavla fo da
He is able to speak ten languages.	pano da zo'u ra kakne lo ka tavla fo da
I think that it's you.	.i mi jinvi le du'u do ckaji
I hope Tom wins.	.i .a'o la tom. jinga
I think he's angry.	.i pe'i le nakni cu fengu
I think I understood.	.i pe'i mi co'a jimpe su'o drani
I don't think that's necessary.	.i pe'i na sarcu
In my opinion, she is correct.	.i pe'i le fetsi cu zukte lo zabna
I think he's happy.	.i pe'i le nakni cu gleki
I think she is happy.	.i pe'i le fetsi cu gleki
I think they are happy.	.i pe'i lei za'u da gleki
Is there anything you want to say?	xu su'o da ckaji lo ka do djica le nu cusku ce'u
Did you understand what he wanted to say?	xu do pu jimpe lo du'u ra te smuni makau
Can you believe it?	.i xu do krici
Are you her friend?	.i xu do pendo le bi'u nai fetsi
Do you own this?	.i xu do ponse ti
How are you, Mike?	.i do cinmo ma doi la maik.
How are you, Tom?	.i do cinmo ma doi la tom.
What shall we play?	.i mi'ai ci'erkei ma au dai
It is very hot in this room, isn't it?	xu nai glare ne'i le bu'u kumfa
Is Tom alone now?	.i xu la tom ca na'o kansa no da
Isn't it true?	.i xu nai jetnu
It was raining.	.i pu ca'o carvi
He died from wounds.	.i le bi'u nai nakni pu ri'a lo ve xrani co'a morsi
He died from wounds.	.i ra pu ri'a tu'a loi cagna co'a morsi
He could not sleep because of the heat.	ra pu ku ri'a le nu glare vau na ku sipna
He wants to read a book.	ra djica le nu ra tcidu lo cukta
It's alive.	.i ra ca jmive
He and I walked together.	.i ra jo'u mi pu cadzu
She shed tears.	.i ra pu klaku
Where has she come from?	.i le bi'u nai fetsi cu klama fi ma
He picked up a red stone.	.i ra pu lafti pa xunre rokci
She is a beautiful woman.	.i ra me le melbi ninmu
She is a beautiful woman.	.i ra me le ninmu ku noi melbi
She is a beautiful woman.	.i ra me le noi melbi vau ninmu
It's my horse.	.i ra me le pe mi xirma
He is a doctor and an author.	.i ra mikce gi'e finti
He told me not to swim there.	.i ra pu minde mi le ka na limna bu'u tu
He hides himself.	.i ra mipri le nei
He is at her side.	.i le bi'u nai nakni cu mlana le bi'u nai fetsi
He's at her side.	.i le bi'u nai nakni cu mlana le bi'u nai fetsi
She was very rich.	.i le bi'u nai fetsi pu ricfu le ka ponse so'i da
He's very strong.	.i le bi'u nai nakni se la'u li so'i tsali
He's not sick.	.i le bi'u nai nakni na bilma
They don't know that I'm Japanese.	.i le za'u da na djuno le du'u mi ponjo
She doesn't know who the father is.	.i le bi'u nai pa fetsi na djuno le du'u le patfu cu mo kau
He doesn't understand you.	.i le bi'u nai nakni na smujmi fi do
She didn't go yesterday.	.i le bi'u nai fetsi ca le prulamdei na ku klama
He didn't want to talk about it anymore.	ra pu na'e djica le nu ra ca'o tavla fi la'e do'i
She wanted to become a teacher.	ra pu djica le nu ra se cuntu lo ka ctuca
He calls me Pete.	ra te cmene mi zo .pit.
I could not sleep because of the noise.	pu ku ri'a tu'a le savru mi na ku kakne le ka sipna
I don't want to do anything.	ro da zo'u mi na djica le nu mi zukte da
Every hunter wants to know where the pheasant is.	xo nobli prenu cu bredi io ze'e
You're faster than this. Don't just think you are, know you are.	ro'o nai dai do ka'e zenba lo ka sutra .i ko lo du'u go'i cu jinvi po'o na gi'e ba'e djuno
I just want to be perfect.	.au mi prane sa'u
I just don't want to marry you.	sa'u mi na djica le nu mi co'a speni do
I just wanted to be popular.	sa'u mi pu djica le nu mi misno
It's nice to meet you.	.i se pluka le ka penmi do
What is it?	mo
What kind of plants are these?	.i ti voi za'umei cu spati ma
This is not enough.	be'u
This apple is rotten.	.i ti voi plise cu mo'u fusra
This is a good learning environment.	vanbi co xamgu be lo ka cilre
I heard that the distance between Tokyo and Osaka is about 10 km.	.i ti'e sirji la .tokios. la .osakan. fa le mitre be li ji'i 10 ki'o
It is said that his father died in a foreign country.	i ti'e le patfu bera pu co'a morsi bu'u lo drata gugde
I hear that his father is abroad.	.i ti'e le patfu be re ca zati lo drata gugde
When will you come back from Milan?	i ba ku ti'u ma do klama le jai purci la .miLAN.
I can hear you.	.i mi tirna do
How cold it is!	u'e lenku
It's cold out there.	lenku bu'u tu
Where is it?	zvati ma
It's dangerous here.	bu'u ckape
Will you stay at home?	xu do ba ca'o zvati le zdani
Do you speak Esperanto?	.i xu do se bangu le bangepu'o
Are you ready?	xu do ca bredi
Can you fix my broken tire now?	pei do cikre le mi spofu xilckabu
Do you cry often?	xu lo nu do klaku cu cafne
Do you eat meat?	xu do ta'e citka lo rectu
Are you new here?	xu do cnino va'o ti
Do you want to win?	xu do djica le nu do jinga
Do you want to go again?	xu do aidji lo ka klama za'u re'u
Do you want to sit somewhere else?	xu do djica le nu do zutse lo drata
Do you know it?	xu do djuno
Are you angry?	xu do fengu
Do you really like your car?	xu do je'a nelci le karce pe do
Do you get it?	G
Do you understand?	G
Do you understand me?	xu do jimpe fi le se cusku be mi
Do you think it's difficult to speak French?	xu do jinvi lo du'u nandu fa lo ka se bangu lo fraso
Can you come at ten on May second?	xu do ka'e zvati ti'u li cacra bu pa no masti bu mu djedi bu re
Are you able to speak Mandarin?	xu do se bangu lo bancumunu
Are you coming to the store with me?	i aipei do kansa mi lo ka klama le zarci
Are you crying?	xu do ca'o klaku
Will you go by train?	xu do ba klama fo lo ka se marce lo trene
Do you believe in God?	xu do krici tu'a la .cev.
Do you believe in God?	xu do krici tu'a le cevni
Do you believe in UFOs?	xu do ca'o zvati la florida
Are you an animist?	xu do xanmi
Are you a doctor?	.i xu do na'o mikce
Do you remember?	xu do morji
Are you dead?	.i xu do ca morsi
Don't you like apples?	.i xu do na nelci lo'e plise
Do you like strawberries?	.i xu do nelci tu'a lo'e fragari
Do you like music?	.i xu do nelci lo'e zgike
Do you need the keys?	.i xu do nitcu tu'a le ckiku
You need the keys?	.i xu do nitcu tu'a le ckiku
Do you need a bag?	.i xu do nitcu tu'a lo'e dakli
Do you need money?	.i xu do nitcu tu'a lo'e jdini
Have you already been to Paris?	xu do pu'i zvati la .paris.
Are you pregnant?	.i xu do se tarbi su'o da
Are you married?	.i xu do speni su'o da
Are you a student?	.i xu do na'o tadni
Are you studying?	.i xu do ca ca'o tadni
Do you speak Inuktitut?	.i xu do se bangu la .inuktitut.
Are you talking to me?	.i do ca ca'o tavla mi xu
Aren't you scared?	.i xunai do terpa
Is Tom dangerous?	.i xu la tom. cu jai lakne fai le ka ta'e zukte su'o ckape
Do they like oranges?	.i xu le za'u da cu nelci le'e najnimre
Is Germany near Italy?	.i xu le dotygu'e cu jibni la .italias.
Does a Roman cat have a Roman meow?	.i xu lo'e mlatu po la rom. ta'e latcmo
Is mercury really a metal?	.i lo'e margu cu jinme pe'a nai pei
Does a Roman cat have a Roman meow?	.i xu lo'e mlatu po la rom. ta'e latcmo
Is her father a doctor?	.i xu le patfu be re poi nanmu cu certu le ka mikce
Is your father a businessperson?	.i xu le patfu be do cu se kagni
Does your friend like tea?	.i xu le pendo be do ta'e nelci le'e tcati
Are they busy?	.i xu lei za'u da na cando
Is he Malaysian?	.i xu le bi'u nai jmive cu meljo
Am I going to die?	.i xu mi pu'o co'a morsi
Am I dreaming?	.i xu mi ca ca'o ca'a senva
Can I eat this?	.i pei mi ti citka
Can I speak with Bill?	.i .au mi tavla la bil.
May I speak to Bill?	.i .au mi tavla la bil.
Can I rest a bit?	.i .e'a pei mi ze'i surla
Did I get it right?	.i xu mi pu smadi su'o jetnu
Did I scare you?	.i xu pu ku gau mi do terpa
Can I have a job?	.i .au mi da se jibri
Could we walk?	.i pei mi'o cadzu
For example, do you like English?	.i xu mu'a do nelci le glibau
Will he live?	.i xu le bi'u nai jmive ca'o jmive
Is he a teacher?	.i xu ra poi nakni cu se jibri le ka ctuca
Did she show you the picture?	.i xu ra pu jai gau zgana fai do le pixra
Is he a friend of yours?	.i xu ra poi nakni cu pendo do
Does she speak French?	.i xu ra se bangu le fraso
Does she play piano?	.i xu ra kakne le ka zgipli lo'e pipno
Does she play the piano?	.i xu ra kakne le ka zgipli lo'e pipno
Is everyone happy?	.i xu va'o ku ro da gleki
Is that what you want?	.i xu du le se djica do
Is this the book you spoke of the other day?	xu ti du le cukta poi du pu zu skicu 
Is this nice?	.i xu ti jai xamgu
Have they arrived yet?	.i xu lei za'u da mo'u klama
Don't you love cats?	.i xu nai do carmi nelci lo'e mlatu
Don't you want to know why I didn't do that?	xunai do djica le nu do djuno le du'u mu'i makau mi na pu zukte ra
Some survived.	.i pu ku su'o le za'u da renvi
They're going crazy.	.i le za'u da zenba le ka zukte xo kau fenki
They want peace.	.i lei za'u da djica le nu panpi
They want this.	.i lei za'u da djica la'e do'i
They came in.	.i le za'u da pu klama le nenri
They have wine.	.i le za'u da ralte lo vanju
They're children.	.i le za'u da verba
The Joneses love their daughter.	.i lai djo'uns. prami le pa tixnu be ro me vo'a
We are speaking about the same thing, just in different words.	.i mi'ai ca'o tavla fi le mintu fo le sa'u ckaji be le ka lo valsi be fi ce'u cu drata
There were more than fifty girls at the party.	.i za'u mu no nixli pu salci
They won't allow us to enter the garden.	.i lei za'u da ba na ku curmi le nu mi'ai klama lo nenri be le purdi
They aren't alone.	.i lei za'u da na ku kansa no da
They didn't talk.	.i lei za'u da pu na ku tavla
They were crying.	.i lei za'u da pu ca'o klaku
They died young.	.i lei za'u da pu co'a ku morsi ca le nu ro me vo'a citno
They gave us a lot to eat.	.i lei za'u da pu dunda fi mi'a so'i se citka .ei
They looked good.	.i lei za'u da pu simlu le ka zabna
They didn't keep their promise.	.i lei za'u da pu na ku tinbe le ckaji be le ka vo'a pu nupre
They did it.	.i lei za'u da pu zukte
They hate Tom.	.i lei za'u da ca xebni la tom.
They're red.	.i le za'u da xunre
The soldiers laughed.	.i le za'u sonci pu cmila
They are eating a sandwich.	.i fe pa snuji fa lei za'u da ca ca'o citka
Those are very famous people.	.i lei za'u va prenu cu mutce misno
They did not enter.	.i lei za'u da pu na ku klama le nenri
The stars shone in the sky.	.i lei za'u tarci pu carmi te gusni bu'u le tsani
These are mine.	.i lei za'u me ti se ponse mi
Those houses are big.	.i le za'u va dinju cu barda
Those apples are big.	.i le za'u va plise cu barda
Those flowers smell sweet.	.i lei za'u va xrula cu se panci su'o titla
I was lucky.	.i mi se funca su'o zabna
Goodnight, Timmy.	.i a'o le balvi nicte do zabna se lifri doi la timis.
You're lucky I took you away from there.	.i do se funca le noi zabna vau nu mi pu jai gau cliva fai do ru
Welcome to Tatoeba!	fi'i le co'a pilno be la tato'ebas.
Welcome to our home.	fi'i le vitke be mi'a le zdani be mi'a
It's more fun than drinking coffee.	.i zmadu le'e nu pinxe lei ckafi vau le ka se la'u li xo kau zdile
It's more fun than drinking tea.	.i zmadu le'e nu pinxe lei tcati vau le ka se la'u li xo kau zdile
It's more fun than studying.	.i zmadu le'e nu tadni vau le ka se la'u li xo kau zdile
She was always very secretive.	.i ro da poi le bi'u nai fetsi pu zukte cu sivni
The journey was brief.	.i le pu nu litru cu tordu
He instantly fell in love with her.	le nanmu pu ba zi co'a prami le ninmu
She instantly fell in love with him.	le ninmu pu ba zi co'a prami le nanmu
How long have you been sitting there?	do pu zutse tu ze'a ma
Long time, no see.	ze'u ku na ku penmi
The train is arriving soon.	.i le trene ba zi tolyli'a
The train is leaving soon.	.i le trene ba zi cliva
Faster, higher, stronger!	.i zmadu fi le ka sutra gi'e galtu gi'e tsali
His long-haired, blond, Teddy Bear hamster was called Jabberwocky.	le noi se kerfa lo clani sloska ku'o kriceto be la'o ly. Teddy Bear .ly. dalpe'o be ra pu se cmene zoi gy.Jabberwocky.gy.
The word 'sam' is short for 'computer' in Lojban.	.i zo sam rafsi zo skami fo le jbobau
Tom' is the name of Tom.	.i zo tam. cmene la tam.
My name is Tom.	mi se cmene zo tom
I call myself “Tom”.	mi te cmene mi zo tom
His dad calls him Tom.	.i zo tam. cmene le bi'u nai nakni le patfu be ri
When does that start?	.i cfari ca ma
My daughter's name is Mary.	.i zoi gy.Mary.gy. cmene le mi tixnu
Steve is an American name.	.i zo'oi Steve merko cmene
Tatoeba' means 'for example' in Japanese.	.i zo'oi Tatoeba se smuni zo mu'a gi'e valsi fi le ponbau
I am not kidding.	zo'o nai
I'm serious! OK, I'm kidding.	mi junri i i'a mi xalbo
Her name is Lucifera.	ra se cmene zoi gy.Lucifera.gy.
Steve is an American name.	zoi gy.Steve.gy. merko glico cmene
Tatoeba' means 'for example' in Japanese.	fanva zoi py.Tatoeba.py. le lojbo le ponjo zo mu'a
On the one hand it is dangerous. On the other hand it is interesting. From both points of view it is necessary.	.i ma'i le pa moi cu ckape .i ma'i le ro moi cu cinri i ma'i le re da sarcu
On the gripping hand, if they're too young and healthy they will escape and attempt to eat you.	.i ma'i le ci moi ba ku le za'u da ga nai du'e va'e le ka citno kei gi'e ricfu gi snada le ka rivbi kei gi'e troci le ka citka do
On the one hand, the place is cheap. On the other hand, it's too hot.	.i zu'u le stuzi cu jai tolkargu .i zu'u nai ri du'e va'e glare
He is a man of his word.	.i le bi'u nai prenu na'o zukte ro se nupre be le nei
Corn... ah... is the plant containing edible portions.	.i lo'e zumri ge'e ri'e cu me lo spati poi se pagbu lo ka'e cidja
He is in his library.	ra nenri le skusro pe ra
Where can I find him?	ra zvati ma ba'a dai
Where is he?	.i ra ca zvati ma
Where is the fire extinguisher?	.i ma se zvati le tutci be lo dicra be lo nu fagri
There it is.	.i zvati tu
This will cost €30.	rupne'uru li pa ci
The car crashed into the wall.	le karce cu janli lo bitmu gi'e se ri'a bo co'a porpi
The vacation is over now.	ca ba'o citsi lo nu surla
You made me lose my mind.	gau do mi zukte lo fenki
